File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,148.60309597477988
00:09:34.084.mp4,0,0,154.67778865067177
00:17:10.535.mp4,0,0,159.40407576674286
00:12:19.952.mp4,0,0,153.75101789858132
00:09:38.088.mp4,0,0,161.14027383331734
00:15:44.934.mp4,0,0,150.39391029549478
00:12:29.397.mp4,0,0,158.18246476556956
00:11:21.904.mp4,0,0,151.44581105547178
00:10:39.642.mp4,0,0,158.20763901737504
00:01:56.787.mp4,0,0,156.31307827716353
00:10:57.095.mp4,0,0,158.389253712787
00:00:54.431.mp4,0,0,161.55048004567217
00:11:40.728.mp4,0,0,154.0851106211668
00:02:06.019.mp4,0,0,156.00310179061157
00:01:18.718.mp4,0,0,158.19810254313447
00:00:40.515.mp4,0,0,155.49676514857336
00:01:08.637.mp4,0,0,157.15757667255235
00:03:14.557.mp4,0,0,158.93630070876836
00:03:24.590.mp4,0,0,157.52833352825013
00:10:18.376.mp4,0,0,158.42769694531967
00:21:04.004.mp4,0,0,162.29683486650785
00:14:57.864.mp4,0,0,150.9346625220444
00:01:43.464.mp4,0,0,158.13832892171848
00:09:14.543.mp4,0,0,155.47746726353185
00:00:44.976.mp4,0,0,157.85729199655637
00:20:31.154.mp4,0,0,163.9750791934642
00:10:31.171.mp4,0,0,153.6434539288508
00:00:30.442.mp4,0,0,156.62425923628513
00:02:45.437.mp4,0,0,157.21872344513835
00:01:35.018.mp4,0,0,158.4429756609741
00:02:56.377.mp4,0,0,161.73506927413666
00:07:23.982.mp4,0,0,156.53086612796935
00:07:13.094.mp4,0,0,156.00155587723123
00:13:57.166.mp4,0,0,157.0338623703707
00:01:33.260.mp4,0,0,162.54003269824938
00:01:46.723.mp4,0,0,159.76525164392297
00:12:35.997.mp4,0,0,161.9005402575034
00:02:09.862.mp4,0,0,161.72601589744414
00:08:16.887.mp4,0,0,160.60292314369826
00:06:41.309.mp4,0,0,158.98219620972796
00:06:29.647.mp4,0,0,159.561529512517
00:03:56.751.mp4,0,0,160.18077500537012
00:03:57.024.mp4,0,0,160.52990439857695
00:08:29.506.mp4,0,0,155.35298288070632
00:04:09.367.mp4,0,0,157.59433073821373
00:01:18.633.mp4,0,0,156.56675599420973
00:03:45.470.mp4,0,0,159.60108118026733
00:02:22.882.mp4,0,0,156.68165114365195
00:20:47.501.mp4,0,0,167.14605601591097
00:04:41.671.mp4,0,0,157.42151288412458
00:17:09.138.mp4,0,0,156.3325351456892
00:15:30.421.mp4,0,0,152.83511346380567
00:01:06.501.mp4,0,0,160.3168134866432
00:04:18.881.mp4,0,0,160.3154666171194
00:04:33.174.mp4,0,0,160.41070424813745
00:04:28.936.mp4,0,0,161.23060340726317
00:05:42.581.mp4,0,0,163.70856908697422
00:05:28.371.mp4,0,0,161.20543854899145
00:02:56.135.mp4,0,0,160.3401519349445
00:03:12.339.mp4,0,0,160.8631614598361
00:10:06.540.mp4,0,0,167.18512449029777
00:16:51.490.mp4,0,0,159.08660859612007
00:07:29.492.mp4,0,0,167.73309520521815
00:09:56.904.mp4,0,0,158.5708798635839
00:10:27.030.mp4,0,0,166.18617127739503
00:12:52.070.mp4,0,0,169.84239936415293
00:12:21.225.mp4,0,0,165.98598247511487
00:10:54.742.mp4,0,0,167.6220193180909
00:16:21.036.mp4,0,0,157.5987498920402
00:07:53.511.mp4,0,0,167.5855065619069
00:14:41.820.mp4,0,0,160.42944446719017
00:09:19.676.mp4,0,0,167.93873800361362
00:08:51.004.mp4,0,0,166.60940852589832
00:20:19.787.mp4,1,0,168.04533497325687
00:17:57.644.mp4,0,0,169.26262765088418
00:14:54.399.mp4,0,0,164.49606545691665
00:19:27.559.mp4,1,0,169.63202252918802
00:16:54.613.mp4,0,0,164.42196389096966
