File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,151.24492535476884
00:09:34.084.mp4,0,0,166.16164094106475
00:17:10.535.mp4,0,0,170.28224644763552
00:12:19.952.mp4,0,0,178.50270800707827
00:09:38.088.mp4,0,1,180.6722582365902
00:15:44.934.mp4,0,0,175.47234009096778
00:12:29.397.mp4,0,0,170.26917135440175
00:11:21.904.mp4,0,1,171.0133828769232
00:10:39.642.mp4,0,0,173.5520610105236
00:01:56.787.mp4,0,0,181.37169732225217
00:10:57.095.mp4,0,0,175.81462416793818
00:00:54.431.mp4,0,0,179.74053644307835
00:11:40.728.mp4,0,1,173.5404384981208
00:02:06.019.mp4,0,0,173.08161415038745
00:01:18.718.mp4,0,0,176.44746828526186
00:00:40.515.mp4,0,0,176.7024962765259
00:01:08.637.mp4,0,0,177.95106482077912
00:03:14.557.mp4,1,0,176.98357348229788
00:03:24.590.mp4,0,2,176.42732017158337
00:10:18.376.mp4,0,0,174.1942460757534
00:21:04.004.mp4,0,0,179.92284637710662
00:14:57.864.mp4,0,0,169.50021773583495
00:01:43.464.mp4,0,1,174.2426454612736
00:09:14.543.mp4,0,0,177.24979071414774
00:00:44.976.mp4,0,0,179.2649015459103
00:20:31.154.mp4,0,0,183.6662484998752
00:10:31.171.mp4,1,0,175.41612075889765
00:00:30.442.mp4,0,0,178.7957685601344
00:02:45.437.mp4,0,0,177.339396621296
00:01:35.018.mp4,0,0,174.46552119632292
00:02:56.377.mp4,0,1,178.96088798642975
00:07:23.982.mp4,0,0,172.89174725664483
00:07:13.094.mp4,1,0,175.13375745804063
00:13:57.166.mp4,0,0,173.5835595389438
00:01:33.260.mp4,0,0,177.88553822205944
00:01:46.723.mp4,0,0,180.8137485202516
00:12:35.997.mp4,0,1,179.13974513126436
00:02:09.862.mp4,0,0,176.73662368662607
00:08:16.887.mp4,2,0,170.2204338141543
00:06:41.309.mp4,0,0,172.4546231436998
00:06:29.647.mp4,0,0,175.61483426622803
00:03:56.751.mp4,1,0,180.54056021867981
00:03:57.024.mp4,0,1,177.97138093301632
00:08:29.506.mp4,0,1,175.08142080959595
00:04:09.367.mp4,0,1,182.1054456357527
00:01:18.633.mp4,0,0,173.67859045552493
00:03:45.470.mp4,0,0,171.09443369245483
00:02:22.882.mp4,0,0,173.04066835355778
00:20:47.501.mp4,0,0,196.07095537241048
00:04:41.671.mp4,0,1,179.6392053007086
00:17:09.138.mp4,0,0,177.55815353213913
00:15:30.421.mp4,1,0,159.97549071655223
00:01:06.501.mp4,1,0,169.32542688483935
00:04:18.881.mp4,2,0,173.92087790575917
00:04:33.174.mp4,0,0,175.0141218523656
00:04:28.936.mp4,0,0,177.96112137534584
00:05:42.581.mp4,0,1,176.6884738311657
00:05:28.371.mp4,0,0,173.41518429789434
00:02:56.135.mp4,1,0,165.85192330271954
00:03:12.339.mp4,0,1,139.7356895286262
00:10:06.540.mp4,1,2,140.12261240911099
00:16:51.490.mp4,0,0,143.7338181397264
00:07:29.492.mp4,1,0,174.52334257513868
00:09:56.904.mp4,1,0,150.17721770055132
00:10:27.030.mp4,1,1,132.51949746602165
00:12:52.070.mp4,0,1,180.41090554380636
00:12:21.225.mp4,1,0,174.6874117357261
00:10:54.742.mp4,0,1,132.860084029163
00:16:21.036.mp4,0,0,141.52456293205395
00:07:53.511.mp4,0,2,179.06362072075703
00:14:41.820.mp4,0,0,165.42473342682115
00:09:19.676.mp4,0,4,128.17144326635076
00:08:51.004.mp4,2,0,181.18607632515898
00:20:19.787.mp4,1,0,184.3632077326342
00:17:57.644.mp4,0,2,161.82264015591198
00:14:54.399.mp4,2,0,160.36915834789772
00:19:27.559.mp4,2,3,159.26962503777025
00:16:54.613.mp4,0,5,183.66275273579308
