File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,154.43689988547646
00:09:34.084.mp4,0,0,175.19540116737386
00:17:10.535.mp4,0,0,176.99882465719168
00:12:19.952.mp4,0,0,178.46359498250249
00:09:38.088.mp4,0,0,171.68988805375932
00:15:44.934.mp4,0,0,172.15361798603598
00:12:29.397.mp4,0,1,178.40846310848116
00:11:21.904.mp4,0,2,173.97844298666553
00:10:39.642.mp4,0,0,171.27676698549612
00:01:56.787.mp4,0,0,179.20125059835024
00:10:57.095.mp4,0,0,174.32612499532422
00:00:54.431.mp4,0,1,177.81851070244196
00:11:40.728.mp4,0,0,165.85283725491402
00:02:06.019.mp4,0,1,164.35621915581834
00:01:18.718.mp4,0,0,179.20599601130755
00:00:40.515.mp4,0,0,180.45612942280172
00:01:08.637.mp4,0,0,180.31766266593343
00:03:14.557.mp4,1,0,180.52545837495208
00:03:24.590.mp4,0,1,180.62671400827824
00:10:18.376.mp4,0,0,179.49017959128707
00:21:04.004.mp4,1,0,179.32921440829952
00:14:57.864.mp4,0,0,167.85624343354343
00:01:43.464.mp4,0,0,174.7750237277229
00:09:14.543.mp4,1,0,170.90815015935252
00:00:44.976.mp4,1,0,175.6370525798513
00:20:31.154.mp4,0,0,181.47593426215633
00:10:31.171.mp4,0,0,172.37505337901044
00:00:30.442.mp4,0,0,165.77889188308336
00:02:45.437.mp4,1,0,165.6240429627797
00:01:35.018.mp4,0,0,169.4372814269219
00:02:56.377.mp4,0,0,180.86293689418915
00:07:23.982.mp4,0,0,173.30103332076354
00:07:13.094.mp4,1,0,175.97749155416997
00:13:57.166.mp4,0,1,179.06586720156517
00:01:33.260.mp4,0,0,176.80858108388387
00:01:46.723.mp4,0,1,176.11922319348497
00:12:35.997.mp4,0,0,179.25291983518295
00:02:09.862.mp4,0,0,175.39866239207456
00:08:16.887.mp4,1,0,170.82563467397785
00:06:41.309.mp4,0,0,167.35767416745114
00:06:29.647.mp4,0,0,176.3125782255915
00:03:56.751.mp4,0,0,182.1030853909609
00:03:57.024.mp4,0,1,181.7392294872482
00:08:29.506.mp4,0,0,175.5963275213182
00:04:09.367.mp4,0,0,167.64703349901973
00:01:18.633.mp4,0,0,169.86585632114083
00:03:45.470.mp4,1,0,176.953635306034
00:02:22.882.mp4,0,0,174.2428141156423
00:20:47.501.mp4,0,0,181.65836858010417
00:04:41.671.mp4,0,2,180.1428159900832
00:17:09.138.mp4,0,0,171.69961326127358
00:15:30.421.mp4,0,0,173.35021380968627
00:01:06.501.mp4,1,0,177.59412744205434
00:04:18.881.mp4,1,0,181.5411384792114
00:04:33.174.mp4,0,1,181.40217524108976
00:04:28.936.mp4,0,0,185.80367035149212
00:05:42.581.mp4,0,2,181.36161700183288
00:05:28.371.mp4,0,0,185.65775924046466
00:02:56.135.mp4,0,0,178.87447690790754
00:03:12.339.mp4,0,1,178.78230520059944
00:10:06.540.mp4,2,2,181.97347252262603
00:16:51.490.mp4,0,0,177.32434671992996
00:07:29.492.mp4,1,0,187.3147332690196
00:09:56.904.mp4,0,0,183.43258298591658
00:10:27.030.mp4,1,1,180.20169858946394
00:12:52.070.mp4,0,0,184.89518060315575
00:12:21.225.mp4,0,0,185.11560915078732
00:10:54.742.mp4,0,3,189.843225612267
00:16:21.036.mp4,0,0,175.57032250914125
00:07:53.511.mp4,0,2,184.53456374488903
00:14:41.820.mp4,0,0,178.62847685689778
00:09:19.676.mp4,0,2,188.20806157307783
00:08:51.004.mp4,2,0,187.03289375692486
00:20:19.787.mp4,1,1,188.23731411556182
00:17:57.644.mp4,0,1,184.2030614505744
00:14:54.399.mp4,1,0,190.4522163005121
00:19:27.559.mp4,3,4,186.0168377714966
00:16:54.613.mp4,1,1,180.46045941202985
