File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,169.51787959052126
00:09:34.084.mp4,0,0,189.52559379132794
00:17:10.535.mp4,0,0,202.24980994727338
00:12:19.952.mp4,0,0,190.59866074848892
00:09:38.088.mp4,0,0,194.04463383750362
00:15:44.934.mp4,0,0,187.38919134705395
00:12:29.397.mp4,0,0,197.34060932019207
00:11:21.904.mp4,0,1,183.74066711786298
00:10:39.642.mp4,0,0,188.34941553864746
00:01:56.787.mp4,0,0,195.34266100264801
00:10:57.095.mp4,0,0,189.58265250793218
00:00:54.431.mp4,0,0,184.16002895921952
00:11:40.728.mp4,0,0,171.64625409861782
00:02:06.019.mp4,0,0,185.50731661619844
00:01:18.718.mp4,0,0,175.03624006542836
00:00:40.515.mp4,0,0,186.75213667658497
00:01:08.637.mp4,0,0,190.06529277025743
00:03:14.557.mp4,0,0,190.25438474990744
00:03:24.590.mp4,0,0,193.5860066124124
00:10:18.376.mp4,0,0,187.55572623079303
00:21:04.004.mp4,0,0,196.73671182053582
00:14:57.864.mp4,0,0,183.96595644784134
00:01:43.464.mp4,0,0,189.9488392004624
00:09:14.543.mp4,0,0,177.08060053084313
00:00:44.976.mp4,0,0,193.35997766610114
00:20:31.154.mp4,0,0,197.3915344960652
00:10:31.171.mp4,0,0,187.7154468845882
00:00:30.442.mp4,0,0,191.04545723491023
00:02:45.437.mp4,0,0,191.78512204689977
00:01:35.018.mp4,0,0,185.48251375542318
00:02:56.377.mp4,0,0,189.69317777030716
00:07:23.982.mp4,0,0,183.30328490977286
00:07:13.094.mp4,0,0,181.24851197808172
00:13:57.166.mp4,0,0,173.18792401251125
00:01:33.260.mp4,0,0,186.60956708368508
00:01:46.723.mp4,0,0,185.9844113047039
00:12:35.997.mp4,0,0,194.75280189537648
00:02:09.862.mp4,0,0,192.60443591797582
00:08:16.887.mp4,0,0,187.32722022178942
00:06:41.309.mp4,0,0,197.66550490298513
00:06:29.647.mp4,0,0,195.7138799375055
00:03:56.751.mp4,0,0,199.67146196699593
00:03:57.024.mp4,0,0,196.34753626815944
00:08:29.506.mp4,0,0,194.09945162521993
00:04:09.367.mp4,0,0,194.49408225697775
00:01:18.633.mp4,0,0,193.86450253014235
00:03:45.470.mp4,0,0,184.39382956066393
00:02:22.882.mp4,0,0,182.69532112713037
00:20:47.501.mp4,0,0,206.32458024070183
00:04:41.671.mp4,0,0,191.5726362954114
00:17:09.138.mp4,0,0,181.8774187524501
00:15:30.421.mp4,0,0,184.14067328725147
00:01:06.501.mp4,0,0,185.64023456925597
00:04:18.881.mp4,0,0,187.0334293192656
00:04:33.174.mp4,0,0,190.49962217361164
00:04:28.936.mp4,0,0,190.31625045838226
00:05:42.581.mp4,0,0,153.95429179128087
00:05:28.371.mp4,0,0,144.11088854771486
00:02:56.135.mp4,0,0,170.72581320571157
00:03:12.339.mp4,0,0,198.81829687096953
00:10:06.540.mp4,0,0,205.33392869445163
00:16:51.490.mp4,0,0,192.87826674552375
00:07:29.492.mp4,0,0,206.6827115668202
00:09:56.904.mp4,0,0,196.21797259593703
00:10:27.030.mp4,0,0,204.9673480009159
00:12:52.070.mp4,0,0,211.29998390505017
00:12:21.225.mp4,0,0,206.5165982688257
00:10:54.742.mp4,0,1,202.81111304662448
00:16:21.036.mp4,1,0,190.68993285042833
00:07:53.511.mp4,0,0,201.8991953991101
00:14:41.820.mp4,0,1,185.30664283029222
00:09:19.676.mp4,0,0,202.2475214215425
00:08:51.004.mp4,1,0,202.51597843020897
00:20:19.787.mp4,0,0,208.97535683729632
00:17:57.644.mp4,1,1,207.30195652909998
00:14:54.399.mp4,1,0,205.98523766828998
00:19:27.559.mp4,0,1,202.40294886332433
00:16:54.613.mp4,0,1,183.9447764822921
