File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,118.32076481897843
00:09:34.084.mp4,0,0,145.04106553706686
00:17:10.535.mp4,0,0,119.3082816767071
00:12:19.952.mp4,1,1,139.11025864559352
00:09:38.088.mp4,2,0,141.14384600420595
00:15:44.934.mp4,1,1,145.9544157997229
00:12:29.397.mp4,0,5,127.96653347059319
00:11:21.904.mp4,1,3,147.8186526981864
00:10:39.642.mp4,0,0,153.58996607052964
00:01:56.787.mp4,1,0,150.14540655844488
00:10:57.095.mp4,1,1,152.5175643880712
00:00:54.431.mp4,0,1,154.18089693945097
00:11:40.728.mp4,1,1,154.93349812698625
00:02:06.019.mp4,0,1,157.16803825827293
00:01:18.718.mp4,0,1,158.39312894690536
00:00:40.515.mp4,0,1,150.8687378634614
00:01:08.637.mp4,1,0,160.61620398846208
00:03:14.557.mp4,3,0,152.70114589072008
00:03:24.590.mp4,0,2,150.426707913845
00:10:18.376.mp4,0,0,137.66784404407966
00:21:04.004.mp4,1,0,135.99292406372666
00:14:57.864.mp4,0,1,146.1831825257802
00:01:43.464.mp4,0,1,149.4472227377888
00:09:14.543.mp4,1,1,151.44389169018638
00:00:44.976.mp4,1,0,158.30045367710693
00:20:31.154.mp4,0,1,138.18957366968772
00:10:31.171.mp4,0,1,152.83145788959882
00:00:30.442.mp4,1,0,139.03768124114004
00:02:45.437.mp4,2,0,148.32093922713898
00:01:35.018.mp4,2,0,153.5226021306075
00:02:56.377.mp4,0,2,146.15716285703843
00:07:23.982.mp4,0,2,147.95403534732694
00:07:13.094.mp4,2,0,143.8160448855675
00:13:57.166.mp4,2,2,143.50978807178785
00:01:33.260.mp4,0,0,158.1790503693929
00:01:46.723.mp4,0,2,156.53557805434755
00:12:35.997.mp4,1,0,152.48964752504045
00:02:09.862.mp4,1,0,157.34723029747875
00:08:16.887.mp4,3,0,149.86749491073354
00:06:41.309.mp4,0,1,153.16009954276015
00:06:29.647.mp4,1,0,154.7547454270583
00:03:56.751.mp4,4,0,154.51096841046794
00:03:57.024.mp4,0,3,150.52708146803272
00:08:29.506.mp4,0,1,152.57388407905577
00:04:09.367.mp4,0,3,152.67781689836522
00:01:18.633.mp4,0,2,155.4071992172307
00:03:45.470.mp4,1,0,152.7929967059358
00:02:22.882.mp4,0,1,160.39233537247424
00:20:47.501.mp4,1,0,143.38590077891394
00:04:41.671.mp4,0,4,149.77976996858186
00:17:09.138.mp4,1,2,150.1859359653233
00:15:30.421.mp4,1,1,155.57959720939837
00:01:06.501.mp4,2,0,156.66967045108925
00:04:18.881.mp4,4,0,153.9873807705134
00:04:33.174.mp4,0,3,150.97354500973032
00:04:28.936.mp4,5,0,148.10047275941395
00:05:42.581.mp4,0,3,144.38122892054417
00:05:28.371.mp4,3,0,155.9173160341237
00:02:56.135.mp4,4,0,151.71794009922834
00:03:12.339.mp4,0,4,157.11543768527915
00:10:06.540.mp4,3,5,139.50552751418442
00:16:51.490.mp4,0,1,152.63202421438206
00:07:29.492.mp4,5,0,144.58953337400962
00:09:56.904.mp4,0,1,152.5242881497021
00:10:27.030.mp4,6,7,137.95077093229673
00:12:52.070.mp4,4,2,138.33643815361475
00:12:21.225.mp4,1,1,141.27261460466093
00:10:54.742.mp4,8,5,148.58381214081058
00:16:21.036.mp4,0,0,152.03075620142198
00:07:53.511.mp4,1,10,149.67731304775046
00:14:41.820.mp4,0,2,150.198483154752
00:09:19.676.mp4,1,12,147.38063570737776
00:08:51.004.mp4,4,0,152.02001254329124
00:20:19.787.mp4,1,7,150.49831078174128
00:17:57.644.mp4,1,4,138.8376234482968
00:14:54.399.mp4,7,2,144.04738083488363
00:19:27.559.mp4,3,7,149.69364698020243
00:16:54.613.mp4,1,7,155.79468492216566
