File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,128.42724284246898
00:09:34.084.mp4,0,0,142.31426000254154
00:17:10.535.mp4,0,0,144.09109152179497
00:12:19.952.mp4,0,0,143.69213485749466
00:09:38.088.mp4,0,0,126.4375269877395
00:15:44.934.mp4,0,0,137.89636556905012
00:12:29.397.mp4,0,1,139.27413719686163
00:11:21.904.mp4,0,0,137.21744580470755
00:10:39.642.mp4,0,0,136.83901398850105
00:01:56.787.mp4,0,0,137.77843007366096
00:10:57.095.mp4,0,0,137.5107768485577
00:00:54.431.mp4,0,1,138.98915357373636
00:11:40.728.mp4,0,0,139.99473626889977
00:02:06.019.mp4,0,0,137.2891466029446
00:01:18.718.mp4,0,1,136.78746085297735
00:00:40.515.mp4,0,0,136.25859317820036
00:01:08.637.mp4,1,0,133.55276391428234
00:03:14.557.mp4,1,0,139.36473029173666
00:03:24.590.mp4,0,1,134.42138261344218
00:10:18.376.mp4,0,0,137.23212055675245
00:21:04.004.mp4,0,0,134.79703638173171
00:14:57.864.mp4,0,0,135.45523935398415
00:01:43.464.mp4,0,1,137.31038266649907
00:09:14.543.mp4,1,0,135.4968924041001
00:00:44.976.mp4,1,0,134.7833257978792
00:20:31.154.mp4,0,0,137.90823908233472
00:10:31.171.mp4,1,0,136.1196530919169
00:00:30.442.mp4,1,0,137.08648448559512
00:02:45.437.mp4,1,0,134.78237279759546
00:01:35.018.mp4,0,0,137.18787864065825
00:02:56.377.mp4,0,2,134.3445842959361
00:07:23.982.mp4,0,0,136.70955204055036
00:07:13.094.mp4,0,0,135.0310574978269
00:13:57.166.mp4,0,0,136.54775081002728
00:01:33.260.mp4,0,0,137.56400179015287
00:01:46.723.mp4,0,0,136.37289876877648
00:12:35.997.mp4,0,0,136.70345532631612
00:02:09.862.mp4,0,0,136.4718595227375
00:08:16.887.mp4,0,0,136.00904353135047
00:06:41.309.mp4,0,0,137.24082618554476
00:06:29.647.mp4,0,0,137.91064668358268
00:03:56.751.mp4,1,0,136.80041717567022
00:03:57.024.mp4,0,0,136.2984394931438
00:08:29.506.mp4,0,0,138.84418592915017
00:04:09.367.mp4,0,0,137.96539216555544
00:01:18.633.mp4,0,0,137.08108380504873
00:03:45.470.mp4,0,0,136.21064102332798
00:02:22.882.mp4,0,1,137.6642739844496
00:20:47.501.mp4,0,0,137.49972933899542
00:04:41.671.mp4,0,1,136.24499328124335
00:17:09.138.mp4,0,0,136.75319697230378
00:15:30.421.mp4,0,1,133.8314600230151
00:01:06.501.mp4,1,0,135.6007034144547
00:04:18.881.mp4,0,0,137.51074076809235
00:04:33.174.mp4,0,0,136.195150842894
00:04:28.936.mp4,2,0,139.14823777194488
00:05:42.581.mp4,0,1,136.5044559867171
00:05:28.371.mp4,2,0,136.5799555580677
00:02:56.135.mp4,1,0,136.74786275823644
00:03:12.339.mp4,0,0,138.37254898975212
00:10:06.540.mp4,0,1,136.86262021017785
00:16:51.490.mp4,0,0,141.7079083856789
00:07:29.492.mp4,0,0,138.9353357173963
00:09:56.904.mp4,0,0,138.13637685427514
00:10:27.030.mp4,0,1,135.70374133437954
00:12:52.070.mp4,0,0,135.56323480036602
00:12:21.225.mp4,0,0,144.68402845675902
00:10:54.742.mp4,1,0,138.39710759645226
00:16:21.036.mp4,1,0,139.17205255776753
00:07:53.511.mp4,0,0,138.38381275710984
00:14:41.820.mp4,0,1,136.84491631165815
00:09:19.676.mp4,0,0,139.97668165686713
00:08:51.004.mp4,0,0,138.88250619294135
00:20:19.787.mp4,0,0,141.23063641646732
00:17:57.644.mp4,0,0,138.08732591988806
00:14:54.399.mp4,0,0,141.59548100351364
00:19:27.559.mp4,0,1,136.92380249290056
00:16:54.613.mp4,0,0,142.18442517017738
