File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,138.69457142993502
00:09:34.084.mp4,1,0,149.61917944420765
00:17:10.535.mp4,0,0,154.61805739969458
00:12:19.952.mp4,0,0,152.03294563123322
00:09:38.088.mp4,0,0,156.8348284861311
00:15:44.934.mp4,0,0,149.85828185097773
00:12:29.397.mp4,0,2,158.46386281012133
00:11:21.904.mp4,0,0,147.84727902107323
00:10:39.642.mp4,0,0,152.2144913175426
00:01:56.787.mp4,0,0,155.034047802501
00:10:57.095.mp4,0,0,154.83014627324454
00:00:54.431.mp4,0,0,160.12392946675885
00:11:40.728.mp4,0,0,149.1642806168456
00:02:06.019.mp4,0,0,151.42055084985665
00:01:18.718.mp4,0,1,153.1267412026006
00:00:40.515.mp4,0,0,152.89928662678525
00:01:08.637.mp4,0,0,152.6636715925098
00:03:14.557.mp4,1,0,155.9971807989348
00:03:24.590.mp4,0,1,149.1579675527476
00:10:18.376.mp4,0,1,153.4292022292787
00:21:04.004.mp4,0,0,158.43312361649845
00:14:57.864.mp4,0,1,145.9575249277147
00:01:43.464.mp4,0,0,147.7641886501601
00:09:14.543.mp4,0,0,151.98263260399767
00:00:44.976.mp4,0,0,150.00025519969375
00:20:31.154.mp4,0,0,157.74273681670397
00:10:31.171.mp4,0,1,149.28931261470603
00:00:30.442.mp4,0,0,152.83658319090617
00:02:45.437.mp4,0,0,151.76770981502827
00:01:35.018.mp4,1,0,151.89093825483135
00:02:56.377.mp4,0,1,153.3680706027187
00:07:23.982.mp4,0,0,141.6807981158828
00:07:13.094.mp4,1,0,146.03766146076538
00:13:57.166.mp4,0,1,148.93570735543582
00:01:33.260.mp4,0,0,153.9130067570538
00:01:46.723.mp4,0,1,154.71958208569154
00:12:35.997.mp4,0,0,149.33528176606202
00:02:09.862.mp4,1,0,155.59874933073866
00:08:16.887.mp4,0,0,151.95364756603644
00:06:41.309.mp4,0,0,153.46640745999886
00:06:29.647.mp4,0,0,153.18275141172927
00:03:56.751.mp4,1,0,152.5633073265089
00:03:57.024.mp4,0,0,152.0934207084359
00:08:29.506.mp4,0,0,152.1140086233476
00:04:09.367.mp4,0,3,154.38277480871295
00:01:18.633.mp4,0,0,154.7190098219665
00:03:45.470.mp4,0,0,151.05222300296273
00:02:22.882.mp4,0,0,151.98761087316925
00:20:47.501.mp4,0,0,153.4039917401032
00:04:41.671.mp4,0,2,148.73406783898136
00:17:09.138.mp4,0,0,150.01294955396494
00:15:30.421.mp4,0,0,158.10503690103252
00:01:06.501.mp4,1,0,160.01363761793954
00:04:18.881.mp4,1,0,163.42114626308458
00:04:33.174.mp4,0,1,142.56097808640715
00:04:28.936.mp4,3,0,148.4483709871495
00:05:42.581.mp4,0,1,150.9620852012886
00:05:28.371.mp4,0,0,163.8059211639708
00:02:56.135.mp4,1,0,161.7925367918753
00:03:12.339.mp4,0,2,163.41946984982155
00:10:06.540.mp4,2,1,164.29955637634373
00:16:51.490.mp4,0,0,160.85558434718357
00:07:29.492.mp4,2,0,171.6271546279505
00:09:56.904.mp4,0,0,162.466357122522
00:10:27.030.mp4,2,4,164.46254266625797
00:12:52.070.mp4,0,0,150.20283086816943
00:12:21.225.mp4,0,0,138.7041054773589
00:10:54.742.mp4,3,1,140.54786924679934
00:16:21.036.mp4,0,0,155.3642187904961
00:07:53.511.mp4,0,4,168.7496368551255
00:14:41.820.mp4,0,1,162.02067528978984
00:09:19.676.mp4,0,3,170.43176073642738
00:08:51.004.mp4,1,0,165.97934908571278
00:20:19.787.mp4,1,4,169.3075876983386
00:17:57.644.mp4,1,0,168.42598782367085
00:14:54.399.mp4,0,0,144.48443539163927
00:19:27.559.mp4,7,5,165.35126799771064
00:16:54.613.mp4,0,0,171.46787613790747
