File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,91.76912338461324
00:09:34.084.mp4,0,1,97.06880238776859
00:17:10.535.mp4,0,0,98.94378494274174
00:12:19.952.mp4,0,1,97.52513503176343
00:09:38.088.mp4,2,0,100.08251033754476
00:15:44.934.mp4,1,1,99.0981702536189
00:12:29.397.mp4,0,3,99.93982342642728
00:11:21.904.mp4,1,4,98.99737616979654
00:10:39.642.mp4,0,0,90.05391919868258
00:01:56.787.mp4,1,0,100.51353765622686
00:10:57.095.mp4,1,1,98.82150637412508
00:00:54.431.mp4,0,1,100.3489051102652
00:11:40.728.mp4,1,1,100.10547271298627
00:02:06.019.mp4,0,1,98.66443179580062
00:01:18.718.mp4,0,1,99.43315227189743
00:00:40.515.mp4,0,1,99.34937134357784
00:01:08.637.mp4,1,0,99.41471681961292
00:03:14.557.mp4,2,0,100.47077676815049
00:03:24.590.mp4,0,2,97.85032413247045
00:10:18.376.mp4,0,1,99.38648108353534
00:21:04.004.mp4,0,0,100.37978032625958
00:14:57.864.mp4,0,1,98.98085812062082
00:01:43.464.mp4,0,1,99.33317016631318
00:09:14.543.mp4,1,1,99.56475940276584
00:00:44.976.mp4,1,0,98.81081696938853
00:20:31.154.mp4,0,1,99.8008477294724
00:10:31.171.mp4,1,2,97.4460382518916
00:00:30.442.mp4,1,0,98.39204923883037
00:02:45.437.mp4,2,0,99.5869830914812
00:01:35.018.mp4,1,0,99.51622851310705
00:02:56.377.mp4,0,2,99.00175122165336
00:07:23.982.mp4,0,2,98.68582445286293
00:07:13.094.mp4,1,0,99.19001831488339
00:13:57.166.mp4,0,1,99.709649898452
00:01:33.260.mp4,1,0,99.74322624093905
00:01:46.723.mp4,0,1,99.5883298516467
00:12:35.997.mp4,1,0,98.90973815354597
00:02:09.862.mp4,1,0,98.10758458308939
00:08:16.887.mp4,3,0,98.42762926545956
00:06:41.309.mp4,0,1,97.82812220233704
00:06:29.647.mp4,1,0,99.13383173859634
00:03:56.751.mp4,3,0,98.62378844747026
00:03:57.024.mp4,0,2,98.3935757446814
00:08:29.506.mp4,0,3,98.6287937487946
00:04:09.367.mp4,0,3,98.14856312468311
00:01:18.633.mp4,0,1,98.16164590570405
00:03:45.470.mp4,1,0,98.57363997768897
00:02:22.882.mp4,0,1,96.77956271039886
00:20:47.501.mp4,1,0,97.39055240806577
00:04:41.671.mp4,0,3,98.00168502132482
00:17:09.138.mp4,1,1,97.65627042158316
00:15:30.421.mp4,1,1,98.71146408275749
00:01:06.501.mp4,1,0,98.20019296716156
00:04:18.881.mp4,2,0,99.28149020230431
00:04:33.174.mp4,0,2,97.83636700697174
00:04:28.936.mp4,4,0,99.12887716592653
00:05:42.581.mp4,0,4,98.25688729399347
00:05:28.371.mp4,2,0,99.46207702390366
00:02:56.135.mp4,2,0,98.21111637342985
00:03:12.339.mp4,0,2,98.73458042021718
00:10:06.540.mp4,4,6,99.03103611453942
00:16:51.490.mp4,0,1,99.90940626284888
00:07:29.492.mp4,8,0,99.41223622975987
00:09:56.904.mp4,1,1,99.72072519013638
00:10:27.030.mp4,6,6,99.81547364976291
00:12:52.070.mp4,2,2,100.19388137339628
00:12:21.225.mp4,1,1,100.04234474003563
00:10:54.742.mp4,4,6,99.446889257312
00:16:21.036.mp4,1,0,98.93281017205811
00:07:53.511.mp4,0,9,100.46999574126069
00:14:41.820.mp4,0,1,100.5200076778169
00:09:19.676.mp4,0,12,99.5559489643395
00:08:51.004.mp4,5,1,100.06319888037679
00:20:19.787.mp4,1,0,99.97660350806221
00:17:57.644.mp4,1,6,100.77632392513021
00:14:54.399.mp4,3,0,100.650446138434
00:19:27.559.mp4,7,5,100.5803814052829
00:16:54.613.mp4,0,8,100.18586304354169
