File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,161.8696902156658
00:09:34.084.mp4,0,0,183.78664969759893
00:17:10.535.mp4,0,0,191.52650694409016
00:12:19.952.mp4,0,1,188.68686884492388
00:09:38.088.mp4,0,0,191.15763431775093
00:15:44.934.mp4,0,0,184.23404355221524
00:12:29.397.mp4,0,2,193.661605350563
00:11:21.904.mp4,0,1,183.46197680890555
00:10:39.642.mp4,0,0,189.31656464549314
00:01:56.787.mp4,0,0,187.97862826356672
00:10:57.095.mp4,0,0,187.45164072757126
00:00:54.431.mp4,0,0,194.104024386795
00:11:40.728.mp4,1,0,184.73719214534776
00:02:06.019.mp4,0,0,188.16496511025795
00:01:18.718.mp4,0,0,190.85175169361185
00:00:40.515.mp4,0,0,188.20614387891993
00:01:08.637.mp4,0,0,189.9740531955446
00:03:14.557.mp4,0,0,191.87503604584919
00:03:24.590.mp4,0,1,190.75385910167932
00:10:18.376.mp4,0,0,188.4468761700322
00:21:04.004.mp4,1,0,196.37737536058964
00:14:57.864.mp4,0,0,184.60564590314198
00:01:43.464.mp4,0,0,191.37521929374813
00:09:14.543.mp4,0,0,189.63396308065268
00:00:44.976.mp4,0,0,193.4310985059997
00:20:31.154.mp4,0,0,193.9314930532652
00:10:31.171.mp4,0,0,187.98561865573672
00:00:30.442.mp4,0,0,189.59316129239596
00:02:45.437.mp4,0,0,190.36538981840934
00:01:35.018.mp4,0,0,187.2369470833875
00:02:56.377.mp4,0,0,191.9118444950055
00:07:23.982.mp4,0,1,185.18007119386792
00:07:13.094.mp4,1,0,188.52100497930553
00:13:57.166.mp4,0,1,188.57337467100027
00:01:33.260.mp4,0,0,191.20062637485552
00:01:46.723.mp4,0,0,189.87067533856637
00:12:35.997.mp4,0,1,188.1682940816191
00:02:09.862.mp4,1,0,188.58007404387004
00:08:16.887.mp4,1,0,186.59575985998273
00:06:41.309.mp4,0,0,190.54515896926708
00:06:29.647.mp4,0,0,189.67586285947604
00:03:56.751.mp4,0,0,191.59703177231765
00:03:57.024.mp4,0,1,191.05812555368155
00:08:29.506.mp4,0,0,186.90022971123776
00:04:09.367.mp4,0,2,190.22671242395515
00:01:18.633.mp4,0,0,190.03829999370996
00:03:45.470.mp4,1,0,191.5597034201276
00:02:22.882.mp4,0,0,187.5325418576493
00:20:47.501.mp4,0,0,197.8997055730312
00:04:41.671.mp4,0,1,191.40479353432832
00:17:09.138.mp4,0,0,185.21663985663966
00:15:30.421.mp4,0,0,184.52859309315843
00:01:06.501.mp4,0,0,186.98931332129703
00:04:18.881.mp4,0,0,191.92252772165887
00:04:33.174.mp4,0,1,188.60455113773946
00:04:28.936.mp4,0,0,192.41276763220964
00:05:42.581.mp4,0,2,191.91911311363296
00:05:28.371.mp4,0,0,190.22926487575472
00:02:56.135.mp4,1,0,190.09885844580464
00:03:12.339.mp4,0,1,189.22111815074146
00:10:06.540.mp4,0,3,195.9808169345154
00:16:51.490.mp4,0,0,187.09132063801187
00:07:29.492.mp4,3,0,198.59264476962196
00:09:56.904.mp4,1,0,189.31880991576097
00:10:27.030.mp4,0,3,194.3837913049262
00:12:52.070.mp4,0,0,198.37929288771093
00:12:21.225.mp4,3,0,196.1398075186909
00:10:54.742.mp4,0,3,196.85694816100616
00:16:21.036.mp4,0,0,186.25204690025785
00:07:53.511.mp4,0,1,195.48652763855145
00:14:41.820.mp4,0,0,189.78783600955973
00:09:19.676.mp4,0,3,196.4241710567388
00:08:51.004.mp4,0,0,195.41994601131913
00:20:19.787.mp4,1,0,198.82658877625687
00:17:57.644.mp4,0,1,198.51921010606515
00:14:54.399.mp4,4,3,196.29197011656467
00:19:27.559.mp4,4,5,198.73513769183154
00:16:54.613.mp4,0,3,196.30320359945264
