File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,159.89993978905733
00:09:34.084.mp4,0,0,173.44013957266407
00:17:10.535.mp4,0,0,183.89388737360423
00:12:19.952.mp4,0,0,185.44469942535315
00:09:38.088.mp4,0,0,184.05890188949644
00:15:44.934.mp4,0,0,180.32060900084872
00:12:29.397.mp4,0,1,191.73307364507664
00:11:21.904.mp4,0,1,176.27797929638754
00:10:39.642.mp4,0,0,184.5087199046749
00:01:56.787.mp4,0,0,188.86538770663645
00:10:57.095.mp4,0,0,186.14730455557063
00:00:54.431.mp4,0,0,191.8427070903373
00:11:40.728.mp4,0,1,184.7486746591701
00:02:06.019.mp4,0,0,180.2744813242142
00:01:18.718.mp4,0,1,185.14948573314933
00:00:40.515.mp4,0,0,180.82810902588255
00:01:08.637.mp4,0,0,184.06043356505597
00:03:14.557.mp4,0,0,184.86155434770632
00:03:24.590.mp4,0,1,181.29632380222233
00:10:18.376.mp4,0,0,181.36743708109927
00:21:04.004.mp4,0,0,190.57402051607593
00:14:57.864.mp4,0,0,176.0676138210605
00:01:43.464.mp4,0,1,185.3320273396496
00:09:14.543.mp4,1,0,183.55895431752114
00:00:44.976.mp4,0,0,187.58377825642094
00:20:31.154.mp4,0,0,192.74420437113167
00:10:31.171.mp4,0,0,181.99848760825864
00:00:30.442.mp4,0,0,182.44693031140906
00:02:45.437.mp4,1,0,182.16088949120066
00:01:35.018.mp4,0,0,180.68193739555883
00:02:56.377.mp4,0,1,184.49127627169398
00:07:23.982.mp4,0,1,178.91829411795675
00:07:13.094.mp4,1,0,182.57492544089644
00:13:57.166.mp4,0,1,179.84336172305788
00:01:33.260.mp4,1,0,185.34743111223807
00:01:46.723.mp4,0,0,185.8814569246509
00:12:35.997.mp4,0,1,185.78806309745386
00:02:09.862.mp4,0,0,184.18662900742137
00:08:16.887.mp4,0,0,180.06076892907316
00:06:41.309.mp4,0,0,183.804586607551
00:06:29.647.mp4,0,0,186.33105632767516
00:03:56.751.mp4,0,0,186.7865486196806
00:03:57.024.mp4,0,0,185.42526708329441
00:08:29.506.mp4,0,1,182.3147166714184
00:04:09.367.mp4,0,0,187.6521551129985
00:01:18.633.mp4,0,0,183.6319936465782
00:03:45.470.mp4,0,1,185.84352214559715
00:02:22.882.mp4,0,0,181.77196482842308
00:20:47.501.mp4,0,0,194.73596324814986
00:04:41.671.mp4,0,2,184.4711622655548
00:17:09.138.mp4,0,0,180.29483849937134
00:15:30.421.mp4,0,0,179.05494437028173
00:01:06.501.mp4,0,0,184.86032255644602
00:04:18.881.mp4,1,0,183.96459343847982
00:04:33.174.mp4,0,1,183.8508951945039
00:04:28.936.mp4,0,0,187.88123768639701
00:05:42.581.mp4,0,1,186.8476718028972
00:05:28.371.mp4,0,0,187.04277534857187
00:02:56.135.mp4,1,0,184.16181441107432
00:03:12.339.mp4,0,1,183.53978455616198
00:10:06.540.mp4,0,2,190.4828459895843
00:16:51.490.mp4,0,0,180.78568978675116
00:07:29.492.mp4,0,1,192.05596697168255
00:09:56.904.mp4,1,0,184.043664118935
00:10:27.030.mp4,0,1,192.95180113110905
00:12:52.070.mp4,0,0,196.00732808627907
00:12:21.225.mp4,0,0,192.0386787367444
00:10:54.742.mp4,1,2,191.43338702542343
00:16:21.036.mp4,0,0,180.50295039659744
00:07:53.511.mp4,0,1,192.12455276195203
00:14:41.820.mp4,0,1,183.99495960500434
00:09:19.676.mp4,0,2,192.70483536084654
00:08:51.004.mp4,1,0,193.00961941471195
00:20:19.787.mp4,0,0,194.96017977375482
00:17:57.644.mp4,0,1,195.1547101558514
00:14:54.399.mp4,2,0,193.21422989341875
00:19:27.559.mp4,2,1,195.86442585614748
00:16:54.613.mp4,0,3,192.91970581476036
