File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,135.67946300148103
00:09:34.084.mp4,0,2,157.1099015357747
00:17:10.535.mp4,0,2,130.32022025717768
00:12:19.952.mp4,0,1,155.18687896358685
00:09:38.088.mp4,1,0,160.25453907867202
00:15:44.934.mp4,1,1,163.06164640430327
00:12:29.397.mp4,0,3,141.64785950399383
00:11:21.904.mp4,1,2,160.81170841227802
00:10:39.642.mp4,0,0,170.9010130448325
00:01:56.787.mp4,1,0,166.7868212232668
00:10:57.095.mp4,0,1,169.9051227720304
00:00:54.431.mp4,0,1,171.70928863880238
00:11:40.728.mp4,2,1,168.44168450299486
00:02:06.019.mp4,0,1,169.5657021075616
00:01:18.718.mp4,0,1,174.67198174136345
00:00:40.515.mp4,0,1,164.96362994089884
00:01:08.637.mp4,1,0,175.12119108814167
00:03:14.557.mp4,2,0,172.01951850563967
00:03:24.590.mp4,0,2,169.1455010805168
00:10:18.376.mp4,0,0,165.89237934141534
00:21:04.004.mp4,1,0,159.72894322577142
00:14:57.864.mp4,0,1,166.1265260045367
00:01:43.464.mp4,0,1,170.62486506100603
00:09:14.543.mp4,1,1,167.54844293619377
00:00:44.976.mp4,1,0,171.65153248119202
00:20:31.154.mp4,0,1,158.59444557937388
00:10:31.171.mp4,1,2,167.88193922303896
00:00:30.442.mp4,1,0,163.14196343768938
00:02:45.437.mp4,2,0,169.31404658422701
00:01:35.018.mp4,2,0,167.36942663568627
00:02:56.377.mp4,0,2,169.1980754026211
00:07:23.982.mp4,0,2,166.19707456046305
00:07:13.094.mp4,2,0,167.14791201607056
00:13:57.166.mp4,0,0,160.86443492774748
00:01:33.260.mp4,1,0,170.039586273498
00:01:46.723.mp4,0,1,173.45334947503738
00:12:35.997.mp4,0,0,166.10295937864657
00:02:09.862.mp4,1,0,173.97080779838814
00:08:16.887.mp4,2,0,162.9912858166437
00:06:41.309.mp4,0,1,171.29511587354244
00:06:29.647.mp4,1,0,173.01004408496254
00:03:56.751.mp4,5,0,168.172855253479
00:03:57.024.mp4,0,1,166.31868848340739
00:08:29.506.mp4,0,1,167.24115247219663
00:04:09.367.mp4,0,3,166.12966661344979
00:01:18.633.mp4,0,2,168.27123933498854
00:03:45.470.mp4,1,0,171.1139585729434
00:02:22.882.mp4,0,1,172.150466143526
00:20:47.501.mp4,1,0,160.5516299546789
00:04:41.671.mp4,0,3,163.2707405798004
00:17:09.138.mp4,1,1,166.62091696116414
00:15:30.421.mp4,1,1,167.6987170267378
00:01:06.501.mp4,1,0,169.85525427751094
00:04:18.881.mp4,3,0,171.4740774855463
00:04:33.174.mp4,0,2,173.4024329566424
00:04:28.936.mp4,5,0,161.81564596526323
00:05:42.581.mp4,0,2,169.17835059547767
00:05:28.371.mp4,1,0,168.8000816428497
00:02:56.135.mp4,4,0,165.42445919630228
00:03:12.339.mp4,0,3,172.28963201734805
00:10:06.540.mp4,6,4,155.58246228459356
00:16:51.490.mp4,0,2,163.32496634419542
00:07:29.492.mp4,9,0,156.91539954820135
00:09:56.904.mp4,0,1,162.75426023384614
00:10:27.030.mp4,4,9,152.6689440572145
00:12:52.070.mp4,2,4,146.60534208974164
00:12:21.225.mp4,1,0,151.60624440378223
00:10:54.742.mp4,5,5,156.7373187643398
00:16:21.036.mp4,1,0,165.8994720824033
00:07:53.511.mp4,0,10,162.6060385748463
00:14:41.820.mp4,0,2,165.49231031508668
00:09:19.676.mp4,0,8,159.30851523842247
00:08:51.004.mp4,4,1,162.3333802977191
00:20:19.787.mp4,1,0,166.13039113745566
00:17:57.644.mp4,1,3,162.78369167025596
00:14:54.399.mp4,5,1,158.58168779620902
00:19:27.559.mp4,6,9,171.65451101413012
00:16:54.613.mp4,2,10,167.31771972223834
