File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,142.25252610368327
00:09:34.084.mp4,0,1,154.46328825437126
00:17:10.535.mp4,0,0,161.36102740664555
00:12:19.952.mp4,0,0,160.84843522069718
00:09:38.088.mp4,0,0,160.5882764505746
00:15:44.934.mp4,1,0,160.6659334639141
00:12:29.397.mp4,0,0,161.77594775672074
00:11:21.904.mp4,0,0,156.39510618936254
00:10:39.642.mp4,0,0,159.59880852740636
00:01:56.787.mp4,0,0,157.55253000469187
00:10:57.095.mp4,1,0,161.36461922388006
00:00:54.431.mp4,0,1,159.37785807844804
00:11:40.728.mp4,1,0,157.68923027951823
00:02:06.019.mp4,0,0,158.82451432444734
00:01:18.718.mp4,0,1,162.62386551656417
00:00:40.515.mp4,0,1,157.16684196989303
00:01:08.637.mp4,1,0,159.9134304042755
00:03:14.557.mp4,1,0,161.12853141121442
00:03:24.590.mp4,0,1,159.25639738503733
00:10:18.376.mp4,0,0,157.89158741914406
00:21:04.004.mp4,0,0,161.19219077750063
00:14:57.864.mp4,0,1,156.66318992782536
00:01:43.464.mp4,0,1,158.71184806679221
00:09:14.543.mp4,1,0,160.66828291472405
00:00:44.976.mp4,1,0,158.1288147313368
00:20:31.154.mp4,0,0,161.4121256069548
00:10:31.171.mp4,1,0,159.97352482470768
00:00:30.442.mp4,1,0,158.84968407108798
00:02:45.437.mp4,1,0,158.03220075128826
00:01:35.018.mp4,0,0,160.76109127410197
00:02:56.377.mp4,0,2,159.4747164748922
00:07:23.982.mp4,0,0,158.47285264751523
00:07:13.094.mp4,0,0,158.56064595748379
00:13:57.166.mp4,0,1,157.2601080756811
00:01:33.260.mp4,1,0,159.48865553354503
00:01:46.723.mp4,0,0,160.8205730560617
00:12:35.997.mp4,0,0,163.32327457771413
00:02:09.862.mp4,1,0,159.8001755315114
00:08:16.887.mp4,0,0,159.52127621192034
00:06:41.309.mp4,0,0,158.65770251147126
00:06:29.647.mp4,0,0,160.20394063742046
00:03:56.751.mp4,1,0,159.71554581999771
00:03:57.024.mp4,0,0,160.35862326846114
00:08:29.506.mp4,0,0,160.12302319358972
00:04:09.367.mp4,0,1,159.88791709463214
00:01:18.633.mp4,0,0,160.42068066253248
00:03:45.470.mp4,1,0,161.64388125307107
00:02:22.882.mp4,0,1,158.78275149628573
00:20:47.501.mp4,0,0,160.44246871822062
00:04:41.671.mp4,0,1,156.65316097068256
00:17:09.138.mp4,0,0,159.34938012513413
00:15:30.421.mp4,0,0,158.65623579585827
00:01:06.501.mp4,1,0,160.33635786807685
00:04:18.881.mp4,0,0,159.40857189994412
00:04:33.174.mp4,0,0,159.03686911937535
00:04:28.936.mp4,2,0,158.01581017126426
00:05:42.581.mp4,0,1,159.43266973622846
00:05:28.371.mp4,2,0,158.32467267986587
00:02:56.135.mp4,1,0,159.49698971987252
00:03:12.339.mp4,0,0,160.5866587770526
00:10:06.540.mp4,1,0,161.9119275294473
00:16:51.490.mp4,0,0,160.69614909469342
00:07:29.492.mp4,1,0,162.11310855805925
00:09:56.904.mp4,0,0,159.7641624601721
00:10:27.030.mp4,2,4,164.50841817528607
00:12:52.070.mp4,0,0,158.22124295262418
00:12:21.225.mp4,0,0,173.62273435983465
00:10:54.742.mp4,2,1,163.83507396514597
00:16:21.036.mp4,1,0,161.88744646498964
00:07:53.511.mp4,0,0,166.22050932934522
00:14:41.820.mp4,0,1,161.29445684906185
00:09:19.676.mp4,0,0,163.9704833223153
00:08:51.004.mp4,1,0,164.34106990662315
00:20:19.787.mp4,0,0,166.51305558743624
00:17:57.644.mp4,0,1,164.61428377118017
00:14:54.399.mp4,0,0,165.70626696425845
00:19:27.559.mp4,2,2,164.03024978173232
00:16:54.613.mp4,0,1,164.22012299206887
