File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,157.77960358817504
00:09:34.084.mp4,0,1,174.41942885748983
00:17:10.535.mp4,0,0,189.06114517293622
00:12:19.952.mp4,0,0,181.60411174261282
00:09:38.088.mp4,0,0,185.75095226038994
00:15:44.934.mp4,1,0,180.65148994819637
00:12:29.397.mp4,1,1,190.5699847996158
00:11:21.904.mp4,1,1,176.54440112791494
00:10:39.642.mp4,0,0,185.77237206471963
00:01:56.787.mp4,1,0,189.41692493368222
00:10:57.095.mp4,0,1,186.04990281386821
00:00:54.431.mp4,0,0,190.7694287691953
00:11:40.728.mp4,1,1,185.99706139438905
00:02:06.019.mp4,0,1,182.11071064194127
00:01:18.718.mp4,0,1,187.00799174961824
00:00:40.515.mp4,0,1,177.79892097307544
00:01:08.637.mp4,1,0,183.8183772744787
00:03:14.557.mp4,1,0,184.36142216383857
00:03:24.590.mp4,0,2,183.35401483416535
00:10:18.376.mp4,0,0,179.7527103591872
00:21:04.004.mp4,0,0,190.37166478498384
00:14:57.864.mp4,0,1,175.1011592249133
00:01:43.464.mp4,0,1,186.09236309804652
00:09:14.543.mp4,1,1,184.75219369050757
00:00:44.976.mp4,1,0,187.89754527356445
00:20:31.154.mp4,0,0,195.10406933076186
00:10:31.171.mp4,1,0,182.92456490640183
00:00:30.442.mp4,1,0,180.4027756482464
00:02:45.437.mp4,1,0,182.77491666439852
00:01:35.018.mp4,1,0,180.92369809259282
00:02:56.377.mp4,0,1,181.7496429303887
00:07:23.982.mp4,0,1,178.47619045054125
00:07:13.094.mp4,1,0,183.538569064183
00:13:57.166.mp4,0,1,178.2835768352561
00:01:33.260.mp4,1,0,182.9747548869984
00:01:46.723.mp4,0,0,184.99009007385717
00:12:35.997.mp4,1,0,185.968931140462
00:02:09.862.mp4,1,0,181.72480498164475
00:08:16.887.mp4,2,0,179.4585901370815
00:06:41.309.mp4,0,1,178.1598840566145
00:06:29.647.mp4,1,0,183.71361709292214
00:03:56.751.mp4,2,0,185.2744325502991
00:03:57.024.mp4,0,1,187.93500004014518
00:08:29.506.mp4,0,1,184.81880240009133
00:04:09.367.mp4,0,2,185.81953452823922
00:01:18.633.mp4,0,0,182.48708234604103
00:03:45.470.mp4,1,0,184.52630816118753
00:02:22.882.mp4,0,0,181.12131248570546
00:20:47.501.mp4,1,0,193.8209382536159
00:04:41.671.mp4,0,3,182.04629972561253
00:17:09.138.mp4,0,1,178.47189556882643
00:15:30.421.mp4,1,1,177.035479250107
00:01:06.501.mp4,1,0,183.30548586782677
00:04:18.881.mp4,2,0,179.59759104096995
00:04:33.174.mp4,0,1,182.10354510670726
00:04:28.936.mp4,3,0,185.3585578667507
00:05:42.581.mp4,0,3,185.58754820707753
00:05:28.371.mp4,1,0,182.07336170289392
00:02:56.135.mp4,2,0,181.63103645673485
00:03:12.339.mp4,0,2,182.7907983566907
00:10:06.540.mp4,2,3,187.988453443694
00:16:51.490.mp4,0,0,179.44855869459755
00:07:29.492.mp4,3,0,190.18911729141476
00:09:56.904.mp4,1,0,181.29730884412737
00:10:27.030.mp4,3,5,188.98616973206526
00:12:52.070.mp4,2,0,192.73571144002355
00:12:21.225.mp4,1,0,189.32863196164448
00:10:54.742.mp4,2,3,188.75907249849868
00:16:21.036.mp4,1,0,179.28439325070838
00:07:53.511.mp4,0,5,193.47320706564392
00:14:41.820.mp4,0,1,183.4620236149892
00:09:19.676.mp4,0,3,190.07781056495787
00:08:51.004.mp4,5,0,190.8147445175987
00:20:19.787.mp4,1,0,193.77420524488184
00:17:57.644.mp4,0,3,196.4304040275938
00:14:54.399.mp4,5,0,190.9448784802351
00:19:27.559.mp4,5,5,195.86956559118673
00:16:54.613.mp4,0,4,193.12698194193715
