File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,161.7937958446754
00:09:34.084.mp4,0,1,180.02210220245627
00:17:10.535.mp4,0,0,188.76848208111787
00:12:19.952.mp4,0,1,183.19923481030727
00:09:38.088.mp4,0,0,187.16692683791578
00:15:44.934.mp4,1,1,181.9942922368024
00:12:29.397.mp4,0,3,190.76507441982102
00:11:21.904.mp4,1,1,177.80383815143188
00:10:39.642.mp4,0,0,186.0602173229611
00:01:56.787.mp4,1,0,186.28747611259737
00:10:57.095.mp4,0,1,189.84212478807424
00:00:54.431.mp4,0,1,185.46123255521076
00:11:40.728.mp4,1,1,183.69009008658298
00:02:06.019.mp4,0,0,183.02949903997208
00:01:18.718.mp4,0,1,189.97678420184843
00:00:40.515.mp4,0,0,182.28047993493925
00:01:08.637.mp4,0,0,186.45975555007885
00:03:14.557.mp4,2,0,191.87230875099905
00:03:24.590.mp4,0,2,188.46888766682727
00:10:18.376.mp4,1,0,186.04021560243277
00:21:04.004.mp4,1,0,191.0641541521782
00:14:57.864.mp4,0,1,178.8318876256649
00:01:43.464.mp4,0,1,185.7982692386944
00:09:14.543.mp4,0,1,184.74460957904535
00:00:44.976.mp4,1,0,188.70609658369085
00:20:31.154.mp4,0,0,187.11465534029142
00:10:31.171.mp4,1,0,188.0599978412916
00:00:30.442.mp4,1,0,185.60321502272765
00:02:45.437.mp4,1,0,188.12018942074266
00:01:35.018.mp4,0,0,186.7100306965967
00:02:56.377.mp4,0,2,190.82577882964557
00:07:23.982.mp4,0,1,181.8125040466792
00:07:13.094.mp4,1,0,187.04481487743402
00:13:57.166.mp4,0,1,185.089069624721
00:01:33.260.mp4,0,0,188.61637900937467
00:01:46.723.mp4,0,0,186.43725786211252
00:12:35.997.mp4,0,0,187.56632559175642
00:02:09.862.mp4,0,0,189.71715976668932
00:08:16.887.mp4,3,0,186.99842259204857
00:06:41.309.mp4,0,0,187.4785840571058
00:06:29.647.mp4,0,0,189.0642230902546
00:03:56.751.mp4,2,0,190.6406015053629
00:03:57.024.mp4,0,1,189.11906768468157
00:08:29.506.mp4,0,2,186.5883772214062
00:04:09.367.mp4,0,2,190.29554012975817
00:01:18.633.mp4,0,0,189.513079280402
00:03:45.470.mp4,1,0,190.35556332131407
00:02:22.882.mp4,0,0,186.82545865984585
00:20:47.501.mp4,0,0,199.13444898498975
00:04:41.671.mp4,0,2,189.40102450874912
00:17:09.138.mp4,1,1,185.4917258250933
00:15:30.421.mp4,1,1,183.24760876003148
00:01:06.501.mp4,1,0,185.7400563759036
00:04:18.881.mp4,2,0,185.96583645050205
00:04:33.174.mp4,0,2,188.73943100355953
00:04:28.936.mp4,1,0,192.78774412924218
00:05:42.581.mp4,0,3,191.24291157122676
00:05:28.371.mp4,0,0,190.07415685931366
00:02:56.135.mp4,2,0,188.72253328406526
00:03:12.339.mp4,0,1,190.57008907445191
00:10:06.540.mp4,1,5,194.0152222286468
00:16:51.490.mp4,0,1,184.47680828959838
00:07:29.492.mp4,3,0,196.99682448977717
00:09:56.904.mp4,1,0,186.62778502730845
00:10:27.030.mp4,6,4,195.87155188466986
00:12:52.070.mp4,0,1,197.6881670704809
00:12:21.225.mp4,1,0,196.23627162878046
00:10:54.742.mp4,4,5,194.88073405387428
00:16:21.036.mp4,0,0,186.21463375151873
00:07:53.511.mp4,0,3,196.59686079662657
00:14:41.820.mp4,0,0,188.88043238815357
00:09:19.676.mp4,1,5,195.30019291489657
00:08:51.004.mp4,1,0,194.01300605901395
00:20:19.787.mp4,1,0,195.17377608269484
00:17:57.644.mp4,0,3,195.78759377235647
00:14:54.399.mp4,4,4,195.0083919919554
00:19:27.559.mp4,5,5,197.92497096643072
00:16:54.613.mp4,1,3,190.98334742724796
