File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,173.28180689511242
00:09:34.084.mp4,0,0,189.85049021939722
00:17:10.535.mp4,0,0,201.58485953559463
00:12:19.952.mp4,0,0,195.52631794668534
00:09:38.088.mp4,0,0,203.25750488420738
00:15:44.934.mp4,0,0,196.72916704152712
00:12:29.397.mp4,0,1,204.86563578278853
00:11:21.904.mp4,0,0,187.92015226712846
00:10:39.642.mp4,0,0,198.67335876570613
00:01:56.787.mp4,0,0,201.89812368476743
00:10:57.095.mp4,0,0,198.66872236471588
00:00:54.431.mp4,0,0,205.43533522636466
00:11:40.728.mp4,0,0,196.69244799025694
00:02:06.019.mp4,0,0,193.84607345593383
00:01:18.718.mp4,0,0,199.8877823610191
00:00:40.515.mp4,0,0,194.50564515276574
00:01:08.637.mp4,0,0,200.5296607810932
00:03:14.557.mp4,0,0,202.52487963497396
00:03:24.590.mp4,0,0,200.29066870367555
00:10:18.376.mp4,0,0,197.60572298169453
00:21:04.004.mp4,0,0,208.284272119765
00:14:57.864.mp4,0,0,187.82969801572312
00:01:43.464.mp4,0,0,199.3603075384651
00:09:14.543.mp4,0,0,197.07728399816847
00:00:44.976.mp4,0,0,202.01833657145954
00:20:31.154.mp4,0,0,208.06967423502593
00:10:31.171.mp4,0,0,195.45639695918265
00:00:30.442.mp4,0,0,195.80309721405828
00:02:45.437.mp4,0,0,196.64499025909
00:01:35.018.mp4,0,0,193.5466472265958
00:02:56.377.mp4,0,0,198.6323556679387
00:07:23.982.mp4,0,0,191.3587486922953
00:07:13.094.mp4,0,0,195.75799067570938
00:13:57.166.mp4,0,0,189.9346892105308
00:01:33.260.mp4,0,0,198.92383610696228
00:01:46.723.mp4,0,0,197.18171688757906
00:12:35.997.mp4,0,0,200.12368210796342
00:02:09.862.mp4,0,0,197.261177742686
00:08:16.887.mp4,0,0,196.93202122355302
00:06:41.309.mp4,0,0,196.28077966578547
00:06:29.647.mp4,0,0,202.33615820272442
00:03:56.751.mp4,0,0,203.56896926690797
00:03:57.024.mp4,0,0,203.48485826594342
00:08:29.506.mp4,0,0,197.7662702391569
00:04:09.367.mp4,0,0,201.71855255908878
00:01:18.633.mp4,0,0,199.86077954658532
00:03:45.470.mp4,0,0,200.3718867502639
00:02:22.882.mp4,0,0,194.56357506569108
00:20:47.501.mp4,0,0,212.42288169295557
00:04:41.671.mp4,0,0,197.76389617023915
00:17:09.138.mp4,0,0,194.92439457833018
00:15:30.421.mp4,0,0,192.90753172131681
00:01:06.501.mp4,0,0,199.37352481878145
00:04:18.881.mp4,0,0,199.42964142406416
00:04:33.174.mp4,0,0,200.74964554867893
00:04:28.936.mp4,0,0,201.27186996485906
00:05:42.581.mp4,0,0,203.11291295949098
00:05:28.371.mp4,0,0,201.17945381813195
00:02:56.135.mp4,0,0,195.62023173010428
00:03:12.339.mp4,0,0,199.1854057977897
00:10:06.540.mp4,0,2,207.22752960055624
00:16:51.490.mp4,0,0,194.1080667071922
00:07:29.492.mp4,0,0,208.62823555427119
00:09:56.904.mp4,1,0,197.78599330204528
00:10:27.030.mp4,0,0,208.3352288888591
00:12:52.070.mp4,0,0,211.0623795603581
00:12:21.225.mp4,0,0,212.02241379448466
00:10:54.742.mp4,0,1,208.55742667028798
00:16:21.036.mp4,0,0,194.99550385695306
00:07:53.511.mp4,0,0,209.00605527507986
00:14:41.820.mp4,0,0,199.4007478602282
00:09:19.676.mp4,0,3,208.77046013699288
00:08:51.004.mp4,2,0,209.18463862131455
00:20:19.787.mp4,0,0,210.92353192328446
00:17:57.644.mp4,0,1,210.3080795568755
00:14:54.399.mp4,2,0,208.72515556204692
00:19:27.559.mp4,2,2,212.45621857137817
00:16:54.613.mp4,0,1,208.61763156698623
