File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,141.94892807574192
00:09:34.084.mp4,0,3,155.87030094186503
00:17:10.535.mp4,0,2,133.51608613225432
00:12:19.952.mp4,0,2,155.25450664429283
00:09:38.088.mp4,2,0,158.0694391910612
00:15:44.934.mp4,1,1,161.6221582208049
00:12:29.397.mp4,3,4,139.1200068730092
00:11:21.904.mp4,1,1,163.34623104437907
00:10:39.642.mp4,0,0,169.94043879064728
00:01:56.787.mp4,1,0,164.36510094823868
00:10:57.095.mp4,1,1,166.68376629341668
00:00:54.431.mp4,0,2,168.45832194125225
00:11:40.728.mp4,2,2,167.6875957665201
00:02:06.019.mp4,0,1,167.31575226308868
00:01:18.718.mp4,0,1,173.53466787110654
00:00:40.515.mp4,0,1,163.99525285886455
00:01:08.637.mp4,1,0,173.68810358783946
00:03:14.557.mp4,2,0,172.306352433912
00:03:24.590.mp4,0,2,169.4973413381294
00:10:18.376.mp4,0,0,165.9362743666134
00:21:04.004.mp4,2,0,160.02760402792129
00:14:57.864.mp4,0,1,163.0830972852172
00:01:43.464.mp4,0,1,169.72249021860966
00:09:14.543.mp4,1,1,165.22223024652857
00:00:44.976.mp4,1,0,171.7384199124163
00:20:31.154.mp4,0,1,163.44983238469922
00:10:31.171.mp4,1,3,169.73938324673588
00:00:30.442.mp4,1,0,165.7390865301871
00:02:45.437.mp4,4,0,166.99548507601153
00:01:35.018.mp4,2,0,169.5945892052263
00:02:56.377.mp4,0,2,167.39486179619382
00:07:23.982.mp4,0,3,165.06149505556536
00:07:13.094.mp4,2,0,169.0629795492764
00:13:57.166.mp4,0,0,160.5521503809765
00:01:33.260.mp4,2,0,171.81046339273072
00:01:46.723.mp4,0,1,171.8127130983661
00:12:35.997.mp4,0,0,164.97276683516563
00:02:09.862.mp4,1,0,173.3273376054301
00:08:16.887.mp4,2,0,161.89076156073037
00:06:41.309.mp4,0,1,170.47296211803993
00:06:29.647.mp4,1,0,169.87040314731502
00:03:56.751.mp4,5,0,166.53743873137634
00:03:57.024.mp4,0,2,166.93582118533092
00:08:29.506.mp4,0,1,166.05947900335343
00:04:09.367.mp4,0,4,166.8928862274544
00:01:18.633.mp4,0,2,167.434260824691
00:03:45.470.mp4,1,0,170.01157130743613
00:02:22.882.mp4,0,1,172.140973938921
00:20:47.501.mp4,1,0,160.24762774190657
00:04:41.671.mp4,0,4,164.1238056787381
00:17:09.138.mp4,1,1,164.96793569354986
00:15:30.421.mp4,1,1,168.3647493127975
00:01:06.501.mp4,2,0,169.75452341955156
00:04:18.881.mp4,7,0,170.27120816336824
00:04:33.174.mp4,0,2,169.86013169685728
00:04:28.936.mp4,5,0,164.2132523530627
00:05:42.581.mp4,0,2,169.02079804616264
00:05:28.371.mp4,2,0,169.36371051499958
00:02:56.135.mp4,7,0,166.85427260902102
00:03:12.339.mp4,0,5,170.29637901362383
00:10:06.540.mp4,7,7,153.63707800063779
00:16:51.490.mp4,0,2,164.93282312405023
00:07:29.492.mp4,14,0,156.61393889984876
00:09:56.904.mp4,1,1,165.6780017054034
00:10:27.030.mp4,6,10,152.65143604213384
00:12:52.070.mp4,4,6,148.23996652587073
00:12:21.225.mp4,1,0,152.63152842786238
00:10:54.742.mp4,5,6,155.64102701271736
00:16:21.036.mp4,1,0,164.6292957174963
00:07:53.511.mp4,2,12,162.26887924750955
00:14:41.820.mp4,0,2,166.30858375060427
00:09:19.676.mp4,1,10,159.1502638301913
00:08:51.004.mp4,7,1,162.47247755885954
00:20:19.787.mp4,1,0,167.5778291429563
00:17:57.644.mp4,3,6,159.89808662687264
00:14:54.399.mp4,8,2,160.96427291918747
00:19:27.559.mp4,8,10,170.2569280764401
00:16:54.613.mp4,1,14,168.86448771617523
