File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,147.48353437763268
00:09:34.084.mp4,0,1,154.5997130128393
00:17:10.535.mp4,0,0,163.4519435195088
00:12:19.952.mp4,0,0,161.4182390404826
00:09:38.088.mp4,0,0,161.39622781412083
00:15:44.934.mp4,1,1,158.10242488100624
00:12:29.397.mp4,0,0,162.8053944459955
00:11:21.904.mp4,0,1,156.2406864622122
00:10:39.642.mp4,0,0,156.70920839587473
00:01:56.787.mp4,0,0,160.41880415894514
00:10:57.095.mp4,1,0,160.43355878967094
00:00:54.431.mp4,0,1,162.95255454129082
00:11:40.728.mp4,1,0,159.96198639182887
00:02:06.019.mp4,0,0,158.65510027953792
00:01:18.718.mp4,0,1,161.02916858454518
00:00:40.515.mp4,0,1,156.25240545149845
00:01:08.637.mp4,1,0,157.7530886194208
00:03:14.557.mp4,1,0,160.04563679256532
00:03:24.590.mp4,0,2,156.6332296775063
00:10:18.376.mp4,0,1,159.10927042914508
00:21:04.004.mp4,0,0,159.2729663247361
00:14:57.864.mp4,0,1,156.00447073610957
00:01:43.464.mp4,0,1,158.6328516007318
00:09:14.543.mp4,1,1,161.33489758630637
00:00:44.976.mp4,1,0,159.24232015271195
00:20:31.154.mp4,0,0,159.70364825696237
00:10:31.171.mp4,1,0,157.10961916403252
00:00:30.442.mp4,1,0,160.32797753426834
00:02:45.437.mp4,1,0,157.666962891377
00:01:35.018.mp4,0,0,159.75109399580168
00:02:56.377.mp4,0,2,159.5194646623218
00:07:23.982.mp4,0,0,159.17364025077714
00:07:13.094.mp4,0,0,154.33750785517003
00:13:57.166.mp4,0,1,156.65818561240718
00:01:33.260.mp4,1,0,155.88675606843728
00:01:46.723.mp4,0,0,157.15417249160558
00:12:35.997.mp4,0,0,160.41154189363803
00:02:09.862.mp4,1,0,155.98384704840313
00:08:16.887.mp4,0,0,155.9414520879625
00:06:41.309.mp4,0,0,160.7669749234522
00:06:29.647.mp4,0,0,161.6032141823122
00:03:56.751.mp4,1,0,162.1778332635981
00:03:57.024.mp4,0,0,161.54760922249986
00:08:29.506.mp4,0,0,162.25699335976702
00:04:09.367.mp4,0,1,160.7623296713697
00:01:18.633.mp4,0,0,155.56151931707788
00:03:45.470.mp4,1,0,156.1428649576482
00:02:22.882.mp4,0,1,156.28431880130367
00:20:47.501.mp4,0,0,154.29139029824785
00:04:41.671.mp4,0,2,156.93358122905175
00:17:09.138.mp4,0,1,158.6683662817652
00:15:30.421.mp4,1,1,156.6839027535368
00:01:06.501.mp4,1,0,159.71464708370075
00:04:18.881.mp4,0,0,161.89013539478393
00:04:33.174.mp4,0,0,161.48883920213586
00:04:28.936.mp4,2,0,160.88325070792953
00:05:42.581.mp4,0,1,160.11333999122652
00:05:28.371.mp4,2,0,162.1856841218837
00:02:56.135.mp4,1,0,157.76075197801407
00:03:12.339.mp4,0,0,162.44106557605892
00:10:06.540.mp4,1,1,161.2478633856571
00:16:51.490.mp4,0,1,157.46735623687553
00:07:29.492.mp4,2,0,160.20897300856646
00:09:56.904.mp4,0,0,161.68312246057408
00:10:27.030.mp4,3,3,161.0434939405965
00:12:52.070.mp4,0,0,160.6779268050292
00:12:21.225.mp4,0,0,173.75327076714993
00:10:54.742.mp4,2,1,166.05001703468582
00:16:21.036.mp4,1,0,160.04889320080736
00:07:53.511.mp4,0,0,163.60584496911852
00:14:41.820.mp4,0,1,161.05038315051848
00:09:19.676.mp4,0,0,165.12761999556335
00:08:51.004.mp4,3,0,163.7948858158799
00:20:19.787.mp4,0,0,165.20371095761882
00:17:57.644.mp4,1,1,165.0936093547004
00:14:54.399.mp4,0,0,164.66908947282255
00:19:27.559.mp4,2,2,164.65051573750378
00:16:54.613.mp4,0,1,165.10822171454456
