File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,162.26136265289495
00:09:34.084.mp4,1,0,168.2531281778741
00:17:10.535.mp4,0,0,177.32817850851438
00:12:19.952.mp4,0,0,171.72203220471968
00:09:38.088.mp4,0,0,180.30647323058514
00:15:44.934.mp4,0,0,172.35605852618946
00:12:29.397.mp4,0,2,183.17744301580746
00:11:21.904.mp4,0,0,166.4462505161314
00:10:39.642.mp4,0,0,175.09960074689175
00:01:56.787.mp4,1,0,178.05680148316247
00:10:57.095.mp4,0,1,177.2728963333355
00:00:54.431.mp4,0,0,184.24305213675407
00:11:40.728.mp4,0,1,172.85765790407996
00:02:06.019.mp4,0,0,173.33674276066014
00:01:18.718.mp4,0,1,179.4622809639385
00:00:40.515.mp4,0,1,174.90839687049305
00:01:08.637.mp4,0,0,176.69010964344164
00:03:14.557.mp4,0,0,179.79753269379745
00:03:24.590.mp4,0,1,175.49822908411798
00:10:18.376.mp4,0,0,175.16180328472495
00:21:04.004.mp4,0,0,184.81700427071476
00:14:57.864.mp4,0,1,168.3126051865042
00:01:43.464.mp4,0,0,176.16203980399467
00:09:14.543.mp4,0,1,176.74683525616155
00:00:44.976.mp4,0,0,176.3742582851262
00:20:31.154.mp4,0,0,184.241846803532
00:10:31.171.mp4,0,0,173.28479694766557
00:00:30.442.mp4,0,0,174.78216755634696
00:02:45.437.mp4,1,0,174.35890917647149
00:01:35.018.mp4,0,0,172.94881665872876
00:02:56.377.mp4,0,0,177.12142499208034
00:07:23.982.mp4,0,0,171.59434808068482
00:07:13.094.mp4,1,0,169.65077009768987
00:13:57.166.mp4,0,0,172.83957251811609
00:01:33.260.mp4,0,0,173.8426106666303
00:01:46.723.mp4,0,0,175.43179007839225
00:12:35.997.mp4,0,0,172.9010937492999
00:02:09.862.mp4,1,0,176.30317967293544
00:08:16.887.mp4,0,0,172.46148682272965
00:06:41.309.mp4,0,0,175.8096067337118
00:06:29.647.mp4,0,0,176.92816168607
00:03:56.751.mp4,0,0,177.0028645784669
00:03:57.024.mp4,0,1,178.60976704521607
00:08:29.506.mp4,0,0,173.85186492952985
00:04:09.367.mp4,0,1,179.60918815390525
00:01:18.633.mp4,0,0,175.63224250420495
00:03:45.470.mp4,0,0,177.15875939192853
00:02:22.882.mp4,0,0,173.72351372360046
00:20:47.501.mp4,0,0,187.57000120956235
00:04:41.671.mp4,0,2,174.73794832660067
00:17:09.138.mp4,0,0,171.94146315660714
00:15:30.421.mp4,0,0,172.35798167703274
00:01:06.501.mp4,0,0,174.62123929636866
00:04:18.881.mp4,0,0,177.07179163634527
00:04:33.174.mp4,0,0,177.51413577111902
00:04:28.936.mp4,0,0,179.33863168497257
00:05:42.581.mp4,0,0,177.88954294196128
00:05:28.371.mp4,0,0,175.05774342265812
00:02:56.135.mp4,1,0,173.82584172193825
00:03:12.339.mp4,0,0,177.45027457530068
00:10:06.540.mp4,0,1,184.38488089464445
00:16:51.490.mp4,0,0,169.0359478733894
00:07:29.492.mp4,2,0,183.13108545977238
00:09:56.904.mp4,0,0,174.3754041259277
00:10:27.030.mp4,1,3,183.64582678930185
00:12:52.070.mp4,0,0,186.95533033792836
00:12:21.225.mp4,2,0,185.577103765252
00:10:54.742.mp4,2,1,185.56007784177754
00:16:21.036.mp4,0,0,169.49808428458348
00:07:53.511.mp4,0,0,184.53218949844796
00:14:41.820.mp4,0,1,172.32275691456442
00:09:19.676.mp4,0,1,184.37372834928627
00:08:51.004.mp4,1,0,180.1047155034869
00:20:19.787.mp4,1,0,186.3208058653874
00:17:57.644.mp4,1,0,185.58687076467746
00:14:54.399.mp4,0,1,184.74000233149948
00:19:27.559.mp4,3,0,186.00521970935802
00:16:54.613.mp4,0,1,183.51878471862904
