File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,23.70281629181496
00:09:34.084.mp4,0,1,22.923973034958284
00:17:10.535.mp4,1,0,19.96245780604508
00:12:19.952.mp4,0,1,19.81745256462857
00:09:38.088.mp4,5,0,21.40087081764191
00:15:44.934.mp4,0,1,21.62112819452219
00:12:29.397.mp4,0,6,21.636418216008586
00:11:21.904.mp4,1,4,21.53658685146013
00:10:39.642.mp4,1,0,21.901796196390766
00:01:56.787.mp4,1,0,21.62618375419496
00:10:57.095.mp4,0,1,21.680041690161254
00:00:54.431.mp4,0,1,21.57038540055242
00:11:40.728.mp4,0,2,21.977970213991668
00:02:06.019.mp4,0,1,21.796194710479742
00:01:18.718.mp4,0,1,21.602066313983244
00:00:40.515.mp4,0,1,21.528534419555132
00:01:08.637.mp4,0,0,21.702228079030043
00:03:14.557.mp4,1,0,21.675951657153796
00:03:24.590.mp4,0,1,21.650573280310162
00:10:18.376.mp4,1,1,21.845130655803167
00:21:04.004.mp4,0,0,21.699946366283736
00:14:57.864.mp4,0,1,21.54635292606965
00:01:43.464.mp4,0,0,21.533096401615182
00:09:14.543.mp4,1,0,21.703802990902386
00:00:44.976.mp4,0,0,21.81401487806605
00:20:31.154.mp4,0,1,21.723505077849193
00:10:31.171.mp4,1,1,21.683332097396228
00:00:30.442.mp4,0,0,21.720132882976188
00:02:45.437.mp4,1,0,21.50331578876112
00:01:35.018.mp4,0,0,22.00577907239153
00:02:56.377.mp4,0,2,21.1779146443998
00:07:23.982.mp4,0,1,23.462903538598326
00:07:13.094.mp4,1,0,24.308944168629925
00:13:57.166.mp4,0,1,23.709357270947347
00:01:33.260.mp4,1,0,19.569272231732455
00:01:46.723.mp4,0,1,24.166456726474618
00:12:35.997.mp4,1,0,24.311285923820336
00:02:09.862.mp4,0,0,24.48521058661131
00:08:16.887.mp4,3,0,24.422907774174906
00:06:41.309.mp4,0,1,24.7529429841486
00:06:29.647.mp4,1,0,24.114172728612157
00:03:56.751.mp4,1,0,23.8963166888492
00:03:57.024.mp4,0,1,19.02546236600753
00:08:29.506.mp4,0,3,22.32676869327017
00:04:09.367.mp4,0,2,23.94553428934152
00:01:18.633.mp4,0,1,17.92562785803096
00:03:45.470.mp4,1,0,24.691218048596202
00:02:22.882.mp4,0,1,24.415694989264
00:20:47.501.mp4,0,0,23.7713860204488
00:04:41.671.mp4,0,3,24.465601586461773
00:17:09.138.mp4,0,0,24.042562461879758
00:15:30.421.mp4,1,1,23.35561616496998
00:01:06.501.mp4,1,0,24.36174601737697
00:04:18.881.mp4,2,0,24.397961736898083
00:04:33.174.mp4,0,2,23.900205809505803
00:04:28.936.mp4,3,0,23.187070721600346
00:05:42.581.mp4,0,3,21.91789029190088
00:05:28.371.mp4,2,0,22.024603865402998
00:02:56.135.mp4,1,0,23.207119875396646
00:03:12.339.mp4,0,1,23.843810677120416
00:10:06.540.mp4,2,3,24.505862448425187
00:16:51.490.mp4,0,1,17.46965960366147
00:07:29.492.mp4,10,0,17.9747957545444
00:09:56.904.mp4,0,0,17.797512151992382
00:10:27.030.mp4,4,6,18.777180200232245
00:12:52.070.mp4,4,11,19.243363824111974
00:12:21.225.mp4,3,0,18.442208384441084
00:10:54.742.mp4,3,7,18.397816639271156
00:16:21.036.mp4,1,0,18.46337159814273
00:07:53.511.mp4,0,11,18.8846331990009
00:14:41.820.mp4,0,2,18.201396953017223
00:09:19.676.mp4,1,9,18.06027708071944
00:08:51.004.mp4,8,0,18.203109972873353
00:20:19.787.mp4,2,10,17.634742105177587
00:17:57.644.mp4,1,8,18.59364369892809
00:14:54.399.mp4,7,4,20.333420209327493
00:19:27.559.mp4,9,6,21.08410639338209
00:16:54.613.mp4,4,16,24.25311472793686
