File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,23.250869891363447
00:09:34.084.mp4,0,0,23.553238475949545
00:17:10.535.mp4,2,0,23.60194840868564
00:12:19.952.mp4,0,1,23.450895368014198
00:09:38.088.mp4,5,0,23.52727137488424
00:15:44.934.mp4,0,1,23.465038936884646
00:12:29.397.mp4,0,4,23.559707380017617
00:11:21.904.mp4,0,0,23.608108974664272
00:10:39.642.mp4,1,0,23.505643965283664
00:01:56.787.mp4,0,0,23.614618726791775
00:10:57.095.mp4,1,0,23.540202445228484
00:00:54.431.mp4,0,1,23.526103714514957
00:11:40.728.mp4,1,0,23.556175559602707
00:02:06.019.mp4,0,1,23.588408949429237
00:01:18.718.mp4,0,1,23.616762552029172
00:00:40.515.mp4,0,1,23.5836537233344
00:01:08.637.mp4,0,0,23.612389538754154
00:03:14.557.mp4,1,0,23.60332296518748
00:03:24.590.mp4,0,1,23.463855302836876
00:10:18.376.mp4,0,0,23.504860371332384
00:21:04.004.mp4,1,1,23.526911989253396
00:14:57.864.mp4,0,1,23.4385938173231
00:01:43.464.mp4,0,1,23.45579381750324
00:09:14.543.mp4,1,0,23.43886916692853
00:00:44.976.mp4,1,0,23.596250114769923
00:20:31.154.mp4,1,2,23.497654156316155
00:10:31.171.mp4,1,2,23.45615300699731
00:00:30.442.mp4,0,0,23.631531507417016
00:02:45.437.mp4,2,0,23.44353831248011
00:01:35.018.mp4,0,0,23.458894471702653
00:02:56.377.mp4,0,2,23.488879874272737
00:07:23.982.mp4,0,1,23.4664927306372
00:07:13.094.mp4,1,0,23.461237893940037
00:13:57.166.mp4,1,1,23.466083091185553
00:01:33.260.mp4,1,0,23.621725110479783
00:01:46.723.mp4,0,1,23.552911164822373
00:12:35.997.mp4,1,0,23.53449072304483
00:02:09.862.mp4,1,0,23.583656008681036
00:08:16.887.mp4,3,0,23.44206467790515
00:06:41.309.mp4,0,1,23.36754634593751
00:06:29.647.mp4,1,0,23.641745099739214
00:03:56.751.mp4,1,0,23.563468738186923
00:03:57.024.mp4,0,1,23.573467348529142
00:08:29.506.mp4,0,2,23.667120059619236
00:04:09.367.mp4,0,3,23.543054150625164
00:01:18.633.mp4,0,1,23.633627663826108
00:03:45.470.mp4,1,0,23.631085063392742
00:02:22.882.mp4,0,0,23.57054729055272
00:20:47.501.mp4,0,0,23.45113306704545
00:04:41.671.mp4,0,3,23.42590731497322
00:17:09.138.mp4,0,0,23.51486185766767
00:15:30.421.mp4,1,1,23.55273737511233
00:01:06.501.mp4,1,0,23.562796072872523
00:04:18.881.mp4,1,0,23.612780648574528
00:04:33.174.mp4,0,1,23.212019567742058
00:04:28.936.mp4,2,0,23.42403048706397
00:05:42.581.mp4,0,2,23.52908848435774
00:05:28.371.mp4,2,0,23.54990717178749
00:02:56.135.mp4,2,0,23.608073865224764
00:03:12.339.mp4,0,2,23.56826699573508
00:10:06.540.mp4,4,2,23.564492898913024
00:16:51.490.mp4,0,1,23.56126371912219
00:07:29.492.mp4,5,4,23.69364972175932
00:09:56.904.mp4,1,0,23.690501554684868
00:10:27.030.mp4,7,6,23.616320074612347
00:12:52.070.mp4,1,3,23.679072249293547
00:12:21.225.mp4,2,1,23.62529511022632
00:10:54.742.mp4,4,6,23.612010963719715
00:16:21.036.mp4,1,0,23.54031378958299
00:07:53.511.mp4,0,9,23.546391657136855
00:14:41.820.mp4,0,1,23.61194949478624
00:09:19.676.mp4,1,8,23.56291518739602
00:08:51.004.mp4,6,2,23.551748071649868
00:20:19.787.mp4,0,11,23.63474993867856
00:17:57.644.mp4,2,6,23.642751071611688
00:14:54.399.mp4,7,0,23.62122995876949
00:19:27.559.mp4,8,5,23.633122947396608
00:16:54.613.mp4,2,6,23.5362437856996
