File,UP,DOWN,FPS
00:08:45.578.mp4,0,0,46.750908221143675
00:09:34.084.mp4,0,1,49.617408875614494
00:17:10.535.mp4,0,0,49.47248680634903
00:12:19.952.mp4,0,0,49.70800417555491
00:09:38.088.mp4,0,0,51.572562990581545
00:15:44.934.mp4,0,0,49.00346320267838
00:12:29.397.mp4,0,1,49.26803116670246
00:11:21.904.mp4,0,0,48.59972688272423
00:10:39.642.mp4,0,0,50.67582942023451
00:01:56.787.mp4,0,0,51.03447788209388
00:10:57.095.mp4,0,0,51.65045985157418
00:00:54.431.mp4,0,1,50.442664457835
00:11:40.728.mp4,0,0,50.458664793625836
00:02:06.019.mp4,0,0,50.86974554036868
00:01:18.718.mp4,0,1,50.21940326679408
00:00:40.515.mp4,0,0,50.52090898346112
00:01:08.637.mp4,1,0,51.131838126727345
00:03:14.557.mp4,1,0,49.076350667717946
00:03:24.590.mp4,0,1,46.5948676277749
00:10:18.376.mp4,0,1,46.13581126582572
00:21:04.004.mp4,0,0,47.57943453856893
00:14:57.864.mp4,0,0,37.02848621750121
00:01:43.464.mp4,0,0,49.20991635830546
00:09:14.543.mp4,1,0,48.96725440325926
00:00:44.976.mp4,1,0,47.6828053604816
00:20:31.154.mp4,0,0,50.47209133127094
00:10:31.171.mp4,1,1,49.12258376111873
00:00:30.442.mp4,0,0,49.62365397486691
00:02:45.437.mp4,1,0,47.9903613440664
00:01:35.018.mp4,0,0,48.95651902152609
00:02:56.377.mp4,0,2,49.226488636688586
00:07:23.982.mp4,0,0,51.89355330498177
00:07:13.094.mp4,0,0,50.22387601095682
00:13:57.166.mp4,0,0,51.80862625091636
00:01:33.260.mp4,1,0,50.66293764325947
00:01:46.723.mp4,0,0,49.16691262064861
00:12:35.997.mp4,0,0,51.93735487668931
00:02:09.862.mp4,0,0,49.78661464279871
00:08:16.887.mp4,0,0,50.47994618631896
00:06:41.309.mp4,0,0,50.53723042719637
00:06:29.647.mp4,0,0,50.15183078493294
00:03:56.751.mp4,1,0,49.331281935603926
00:03:57.024.mp4,0,0,50.72626136830709
00:08:29.506.mp4,0,0,51.54016110343034
00:04:09.367.mp4,0,0,51.233100995031734
00:01:18.633.mp4,0,0,50.055685135393894
00:03:45.470.mp4,0,0,49.82483805148002
00:02:22.882.mp4,0,0,49.90574819758967
00:20:47.501.mp4,0,0,50.986109680491296
00:04:41.671.mp4,0,2,50.85826141321997
00:17:09.138.mp4,0,0,51.03320642745563
00:15:30.421.mp4,1,1,50.451314700532336
00:01:06.501.mp4,1,0,49.64396183507848
00:04:18.881.mp4,0,0,50.0754241938966
00:04:33.174.mp4,0,0,49.53014573342568
00:04:28.936.mp4,2,0,50.15965748729986
00:05:42.581.mp4,0,0,48.76562935598948
00:05:28.371.mp4,2,0,49.34181178219965
00:02:56.135.mp4,1,0,49.60425448794148
00:03:12.339.mp4,0,0,50.16980396137299
00:10:06.540.mp4,0,1,48.75870248154429
00:16:51.490.mp4,0,0,51.682696863759276
00:07:29.492.mp4,0,0,49.14788486629771
00:09:56.904.mp4,1,0,50.24213364784644
00:10:27.030.mp4,1,1,49.54024617507973
00:12:52.070.mp4,2,1,48.848180210970064
00:12:21.225.mp4,0,0,59.85555596565847
00:10:54.742.mp4,1,1,48.9182491688581
00:16:21.036.mp4,1,0,51.10050375771374
00:07:53.511.mp4,0,0,50.64997870869671
00:14:41.820.mp4,0,1,51.34541263029052
00:09:19.676.mp4,0,1,50.17634372479053
00:08:51.004.mp4,0,0,50.98635015488975
00:20:19.787.mp4,0,0,52.43331296034755
00:17:57.644.mp4,0,0,51.3979391800346
00:14:54.399.mp4,0,0,52.70529703478341
00:19:27.559.mp4,1,0,50.74365111760404
00:16:54.613.mp4,0,1,52.43717003288173
