File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,28.229888534792085
00:09:34.084.mp4,1,0,29.7358288332977
00:17:10.535.mp4,3,0,29.999313370207897
00:12:19.952.mp4,1,1,29.37352630122397
00:09:38.088.mp4,7,0,29.898171257794033
00:15:44.934.mp4,1,0,29.292457247075003
00:12:29.397.mp4,0,5,22.743854936628637
00:11:21.904.mp4,1,0,29.47018170906177
00:10:39.642.mp4,1,0,30.118371941896196
00:01:56.787.mp4,2,0,29.81603657679485
00:10:57.095.mp4,1,1,29.474233186007083
00:00:54.431.mp4,0,1,29.610486306750595
00:11:40.728.mp4,0,0,29.716293182237433
00:02:06.019.mp4,0,1,29.92101239301814
00:01:18.718.mp4,0,1,30.024141255303572
00:00:40.515.mp4,0,2,29.946155435428018
00:01:08.637.mp4,2,0,29.61751763176819
00:03:14.557.mp4,5,0,29.399175985543998
00:03:24.590.mp4,0,3,29.59040675832567
00:10:18.376.mp4,1,1,29.330983200209282
00:21:04.004.mp4,1,0,29.308259733598344
00:14:57.864.mp4,0,1,29.829376037533706
00:01:43.464.mp4,0,1,29.950013978984177
00:09:14.543.mp4,1,1,29.92742514548031
00:00:44.976.mp4,1,0,29.986373666909277
00:20:31.154.mp4,1,1,29.867299412580074
00:10:31.171.mp4,0,2,29.817471838729702
00:00:30.442.mp4,2,0,29.86876528795595
00:02:45.437.mp4,3,0,29.606575143592604
00:01:35.018.mp4,1,0,29.732984565811012
00:02:56.377.mp4,0,2,29.70355958841864
00:07:23.982.mp4,0,1,29.87904676602618
00:07:13.094.mp4,1,0,29.847574504179846
00:13:57.166.mp4,1,0,29.54395722499805
00:01:33.260.mp4,1,0,30.243577689248536
00:01:46.723.mp4,0,1,29.905334895728064
00:12:35.997.mp4,0,0,29.414421266662796
00:02:09.862.mp4,3,0,30.070264661206192
00:08:16.887.mp4,0,1,29.761195535554716
00:06:41.309.mp4,0,1,29.947725873568086
00:06:29.647.mp4,1,0,29.64006072659007
00:03:56.751.mp4,4,0,29.497849045491638
00:03:57.024.mp4,0,2,29.999193271104588
00:08:29.506.mp4,0,1,29.4917217623145
00:04:09.367.mp4,0,3,29.278440415191437
00:01:18.633.mp4,0,1,30.095059697741593
00:03:45.470.mp4,2,0,29.26742878501873
00:02:22.882.mp4,0,1,29.907128890332793
00:20:47.501.mp4,0,0,29.443657194989438
00:04:41.671.mp4,0,2,29.179944903310197
00:17:09.138.mp4,2,2,30.00875901728172
00:15:30.421.mp4,1,1,30.007229110838704
00:01:06.501.mp4,1,0,29.83383331528686
00:04:18.881.mp4,2,0,29.63227636346665
00:04:33.174.mp4,0,1,30.02878050713531
00:04:28.936.mp4,3,0,29.59105114297676
00:05:42.581.mp4,2,4,29.11414035030135
00:05:28.371.mp4,3,2,29.93106875316093
00:02:56.135.mp4,3,0,29.68223095972778
00:03:12.339.mp4,0,4,30.035598576384306
00:10:06.540.mp4,4,5,28.071538113592982
00:16:51.490.mp4,0,1,29.614952712424316
00:07:29.492.mp4,5,2,27.40204145969069
00:09:56.904.mp4,0,2,29.768357336193887
00:10:27.030.mp4,4,5,27.848978938768262
00:12:52.070.mp4,5,10,26.9051810458839
00:12:21.225.mp4,1,0,26.682360933496263
00:10:54.742.mp4,6,6,28.675158871642385
00:16:21.036.mp4,1,0,30.023688706143442
00:07:53.511.mp4,2,6,28.262017703830324
00:14:41.820.mp4,0,4,29.647077931395316
00:09:19.676.mp4,0,5,28.264927887159704
00:08:51.004.mp4,8,3,28.35734132778775
00:20:19.787.mp4,1,7,28.73826922892243
00:17:57.644.mp4,2,9,30.097574275197488
00:14:54.399.mp4,4,5,29.13433098270886
00:19:27.559.mp4,10,5,29.296310755331177
00:16:54.613.mp4,2,2,29.30651006926175
