File,UP,DOWN,FPS
00:08:45.578.mp4,1,0,28.669468965716007
00:09:34.084.mp4,0,1,29.346073473818027
00:17:10.535.mp4,1,0,28.90562276792836
00:12:19.952.mp4,0,1,28.814025381617334
00:09:38.088.mp4,5,0,29.233217791556015
00:15:44.934.mp4,1,1,28.701274168843668
00:12:29.397.mp4,0,6,28.657557327915725
00:11:21.904.mp4,1,1,27.774160893034235
00:10:39.642.mp4,1,0,27.462706183369885
00:01:56.787.mp4,1,0,28.309676617460305
00:10:57.095.mp4,1,1,29.32156855849189
00:00:54.431.mp4,0,1,29.109515127969715
00:11:40.728.mp4,0,1,28.259265294389056
00:02:06.019.mp4,0,1,28.09254816999078
00:01:18.718.mp4,0,1,28.784746878741682
00:00:40.515.mp4,0,0,28.40837728015469
00:01:08.637.mp4,1,0,28.62570207725771
00:03:14.557.mp4,2,0,28.692995062378284
00:03:24.590.mp4,0,2,27.945925437740083
00:10:18.376.mp4,1,1,27.932698334587332
00:21:04.004.mp4,0,0,28.534135051724896
00:14:57.864.mp4,0,1,29.090063408520383
00:01:43.464.mp4,0,1,28.42288207702795
00:09:14.543.mp4,1,1,28.26016758981849
00:00:44.976.mp4,1,0,26.879909565853033
00:20:31.154.mp4,0,1,28.692297539797504
00:10:31.171.mp4,1,2,28.904411948768253
00:00:30.442.mp4,1,0,29.100775124468615
00:02:45.437.mp4,2,0,29.031358388938283
00:01:35.018.mp4,1,0,27.611503871503466
00:02:56.377.mp4,0,2,27.18569989534894
00:07:23.982.mp4,0,1,28.590780144720163
00:07:13.094.mp4,1,0,28.99744627988015
00:13:57.166.mp4,1,1,29.212257611807708
00:01:33.260.mp4,1,0,28.798716166145976
00:01:46.723.mp4,0,1,28.146928531343818
00:12:35.997.mp4,2,0,29.029532115348985
00:02:09.862.mp4,1,0,28.961926300600958
00:08:16.887.mp4,2,0,28.290799950367827
00:06:41.309.mp4,0,1,27.554157487913983
00:06:29.647.mp4,1,0,28.17985477219797
00:03:56.751.mp4,3,0,28.623109701640228
00:03:57.024.mp4,0,2,28.78893359142342
00:08:29.506.mp4,0,1,29.001486177639308
00:04:09.367.mp4,0,3,28.418760603491982
00:01:18.633.mp4,0,1,28.24217430992013
00:03:45.470.mp4,1,0,28.230872401307924
00:02:22.882.mp4,0,1,28.97777389913094
00:20:47.501.mp4,0,0,28.896025632217746
00:04:41.671.mp4,0,4,29.243120378273193
00:17:09.138.mp4,1,1,28.99560137918377
00:15:30.421.mp4,1,1,28.89902200014119
00:01:06.501.mp4,1,0,29.06105920921136
00:04:18.881.mp4,2,0,28.955479416113864
00:04:33.174.mp4,0,1,29.066323135112814
00:04:28.936.mp4,4,0,28.462667611761148
00:05:42.581.mp4,0,3,27.21376436514615
00:05:28.371.mp4,2,0,27.713438718025003
00:02:56.135.mp4,2,0,28.416782310562564
00:03:12.339.mp4,0,2,29.17302166417605
00:10:06.540.mp4,3,5,28.46890441298957
00:16:51.490.mp4,0,1,28.33773429538054
00:07:29.492.mp4,5,0,28.57036777859466
00:09:56.904.mp4,1,2,28.122435258103547
00:10:27.030.mp4,6,4,27.902004482553792
00:12:52.070.mp4,0,1,28.134681793844205
00:12:21.225.mp4,1,1,27.83478186554385
00:10:54.742.mp4,6,5,28.991845997871415
00:16:21.036.mp4,1,0,28.213681713276067
00:07:53.511.mp4,0,8,28.20962508124927
00:14:41.820.mp4,0,2,28.547716380076373
00:09:19.676.mp4,1,7,28.921200761830267
00:08:51.004.mp4,6,0,28.567389434211357
00:20:19.787.mp4,2,8,28.209225510271178
00:17:57.644.mp4,1,3,28.10017410138738
00:14:54.399.mp4,5,0,28.457254783735515
00:19:27.559.mp4,10,6,28.621918367492032
00:16:54.613.mp4,1,2,28.491502443781744
